Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Anthony Davis,11,,PF/C,10400,LAL,CHA,1,115,29,30,101,110,2%,19,19,19,35,35,35,48.1,48.1,44.1,52.2,33.5,54.4,5.2,32.5,59.5,5.7
Karl-Anthony Towns,15,,C,10100,MIN,MIA,1,116,29,26,101,105,-10%,20,20,20,33,33,33,77.9,77.9,71.7,84.1,34.0,61.3,6.1,34.8,51.3,5.1
LeBron James,7,,PG/SF,9900,LAL,CHA,1,115,33,26,101,110,-1%,21,21,21,33,33,33,51.3,51.3,39.9,62.6,33.0,51.7,5.2,35,47.5,4.8
Luka Doncic,11,,PG/SG,9500,DAL,POR,1,111,31,20,102,108,-1%,19,19,19,36,36,36,56.9,56.9,51.0,62.7,34.5,51.2,5.4,37.7,64.0,6.7
Kyrie Irving,10,,PG,9300,BKN,@MEM,1,115,30,24,99,106,-4%,26,26,26,35,35,35,58.5,58.5,33.8,83.2,33.0,45.1,4.8,34.3,63.8,6.9
Damian Lillard,10,,PG,9100,POR,@DAL,1,109,31,24,101,108,4%,21,21,21,36,36,36,52.9,52.9,50.2,55.5,36.0,45.7,5.0,38.4,42.8,4.7
Kristaps Porzingis,4,,PF/C,8200,DAL,POR,1,111,,,102,108,-1%,17,17,17,29,29,29,39.0,39.0,32.6,45.4,30.5,38.2,4.7,34.4,56.3,6.9
Jimmy Butler,,O,SG/SF,7800,MIA,@MIN,0,109,23,20,103,110,6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Hassan Whiteside,6,,C,7400,POR,@DAL,1,109,22,24,101,108,-4%,9,9,9,26,26,26,42.0,42.0,40.2,43.8,27.0,36.2,4.9,25.7,24.0,3.2
Justise Winslow,8,,PG/SF,7200,MIA,@MIN,0,109,22,13,103,110,8%,19,19,19,39,39,39,44.0,44.0,36.6,51.4,35.0,34.9,4.8,42.7,44.0,6.1
Bam Adebayo,7,,PF/C,7000,MIA,@MIN,0,109,16,18,103,110,-1%,8,8,8,31,31,31,41.3,41.3,29.9,52.6,31.5,35.6,5.1,31.6,40.3,5.8
Caris LeVert,4,,PG/SF,6800,BKN,@MEM,1,115,25,15,99,106,1%,13,13,13,31,31,31,29.1,29.1,19.0,39.2,30.5,32.0,4.7,39,40.0,5.9
Ja Morant,1,,PG,6700,MEM,BKN,1,110,,,103,107,-4%,11,11,11,27,27,27,25.9,25.9,25.7,26.1,28.5,33.5,5.0,32.4,50.0,7.5
CJ McCollum,5,,PG/SG,6600,POR,@DAL,1,109,26,17,101,108,1%,18,18,18,35,35,35,24.1,24.1,19.4,28.9,34.0,31.7,4.8,41,52.0,7.9
Jaren Jackson Jr.,3,,PF/C,6500,MEM,BKN,1,110,22,16,103,107,1%,15,15,15,31,31,31,34.5,34.5,21.4,47.6,31.0,33.4,5.1,23.7,26.0,4.0
Terry Rozier,3,,PG,6400,CHA,@LAL,1,102,19,13,106,107,1%,8,8,8,24,24,24,25.1,25.1,17.9,32.4,30.0,30.2,4.7,32,34.5,5.4
Jonas Valanciunas,1,,C,6400,MEM,BKN,1,110,25,24,103,107,11%,9,9,9,17,17,17,19.5,19.5,9.2,29.8,20.5,28.5,4.5,19.7,44.8,7.0
Andrew Wiggins,4,,SG/SF,6300,MIN,MIA,1,116,24,12,101,105,0%,20,20,20,34,34,34,29.0,29.0,26.9,31.1,33.0,32.2,5.1,35.5,33.0,5.2
PJ Washington,4,,PF/C,6200,CHA,@LAL,1,102,,,106,107,-3%,13,13,13,33,33,33,33.0,33.0,24.5,41.5,32.5,29.8,4.8,35.8,20.0,3.2
Kyle Kuzma,,O,SF/PF,6000,LAL,CHA,1,115,23,14,101,110,2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dwayne Bacon,1,,SG/SF,5800,CHA,@LAL,1,102,17,12,106,107,3%,16,16,16,27,27,27,26.1,26.1,11.1,41.2,31.5,25.1,4.3,36.7,25.5,4.4
Taurean Prince,1,,SF/PF,5700,BKN,@MEM,1,115,19,12,99,106,-4%,12,12,12,37,37,37,30.4,30.4,16.4,44.3,32.5,27.5,4.8,30.4,21.5,3.8
Robert Covington,1,,SF/PF,5700,MIN,MIA,1,116,16,13,101,105,0%,11,11,11,25,25,25,21.6,21.6,14.4,28.9,29.5,27.5,4.8,27.6,31.0,5.4
Jarrett Allen,2,,PF/C,5600,BKN,@MEM,1,115,16,19,99,106,-7%,6,6,6,31,31,31,26.3,26.3,19.9,32.6,23.0,23.8,4.3,27.5,32.3,5.8
Tyler Herro,3,,SG,5600,MIA,@MIN,0,109,,,103,110,-1%,15,15,15,33,33,33,24.6,24.6,17.7,31.5,31.5,28.4,5.1,35,20.3,3.6
Miles Bridges,1,,SF/PF,5600,CHA,@LAL,1,102,15,13,106,107,3%,8,8,8,30,30,30,23.4,23.4,23.2,23.6,32.0,26.7,4.8,37.3,34.5,6.2
Rajon Rondo,,O,PG,5500,LAL,CHA,1,115,20,12,101,110,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Goran Dragic,7,,PG,5400,MIA,@MIN,0,109,25,14,103,110,-1%,13,13,13,30,30,30,39.4,39.4,29.3,49.5,29.0,27.9,5.2,27.4,25.3,4.7
Dwight Powell,,O,C,5400,DAL,POR,1,111,17,20,102,108,-1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kendrick Nunn,4,,PG/SG,5300,MIA,@MIN,0,109,,,103,110,-1%,18,18,18,28,28,28,36.0,36.0,34.6,37.4,29.0,26.0,4.9,40.2,37.5,7.1
Cody Zeller,5,,C,5300,CHA,@LAL,1,102,16,17,106,107,8%,11,11,11,35,35,35,32.5,32.5,32.5,32.5,29.0,26.8,5.1,28.7,52.0,9.8
Jeff Teague,4,,PG,5300,MIN,MIA,1,116,22,15,101,105,-6%,6,6,6,28,28,28,20.9,20.9,16.1,25.6,29.5,29.3,5.5,31.1,36.3,6.8
Danny Green,1,,SG/SF,5200,LAL,CHA,1,115,14,13,101,110,6%,11,11,11,30,30,30,35.1,35.1,19.4,50.9,29.0,22.8,4.4,25.9,13.5,2.6
Delon Wright,6,,PG/SG,5000,DAL,POR,1,111,18,16,102,108,-1%,7,7,7,27,27,27,30.1,30.1,11.6,48.7,28.5,27.4,5.5,23,18.0,3.6
Dion Waiters,,O,SG/SF,5000,MIA,@MIN,0,109,22,11,103,110,6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Spencer Dinwiddie,2,,PG/SG,4900,BKN,@MEM,1,115,26,16,99,106,-4%,13,13,13,23,23,23,25.4,25.4,16.0,34.7,25.5,25.7,5.2,29.7,36.3,7.4
Zach Collins,3,,PF/C,4900,POR,@DAL,1,109,17,14,101,108,-4%,7,7,7,31,31,31,19.1,19.1,16.5,21.8,31.5,26.4,5.4,24,15.3,3.1
Marvin Williams,1,,SF/PF,4800,CHA,@LAL,1,102,15,13,106,107,-3%,6,6,6,15,15,15,11.9,11.9,-4.6,28.3,19.5,15.3,3.2,17.3,10.0,2.1
Joe Harris,3,,SG/SF,4700,BKN,@MEM,1,115,17,14,99,106,-4%,9,9,9,35,35,35,23.5,23.5,21.4,25.6,31.5,23.7,5.0,36.9,21.0,4.5
Devonte' Graham,3,,PG/SG,4600,CHA,@LAL,1,102,18,10,106,107,1%,12,12,12,28,28,28,38.3,38.3,32.2,44.3,25.0,21.2,4.6,27.5,20.3,4.4
Nicolas Batum,,O,SG/SF,4600,CHA,@LAL,1,102,14,12,106,107,5%,0,0,0,11,11,11,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0
JaVale McGee,1,,C,4500,LAL,CHA,1,115,19,22,101,110,2%,2,2,2,15,15,15,6.8,6.8,2.2,11.3,16.0,18.8,4.2,16.3,18.5,4.1
Jae Crowder,7,,SF/PF,4400,MEM,BKN,1,110,19,12,103,107,1%,12,12,12,31,31,31,27.3,27.3,23.7,30.8,30.5,25.6,5.8,37.7,28.8,6.5
Kelly Olynyk,5,,PF/C,4400,MIA,@MIN,0,109,18,14,103,110,-1%,7,7,7,25,25,25,25.8,25.8,21.2,30.3,24.0,21.3,4.8,13,5.5,1.3
Tyus Jones,1,,PG,4400,MEM,BKN,1,110,16,14,103,107,-4%,9,9,9,22,22,22,20.5,20.5,7.4,33.6,20.5,17.9,4.1,20.6,16.0,3.6
Maxi Kleber,1,,PF/C,4400,DAL,POR,1,111,13,13,102,108,-1%,4,4,4,29,29,29,20.0,20.0,14.3,25.7,27.0,21.9,5.0,24.5,28.5,6.5
DeAndre Jordan,2,,C,4400,BKN,@MEM,1,115,14,19,99,106,-7%,3,3,3,20,20,20,14.8,14.8,3.4,26.1,25.0,26.8,6.1,23.4,26.0,5.9
Kent Bazemore,1,,SG/SF,4200,POR,@DAL,1,109,22,12,101,108,1%,7,7,7,24,24,24,23.5,23.5,13.6,33.4,24.0,19.6,4.7,30.4,17.8,4.2
Rodney Hood,1,,SG/SF,4200,POR,@DAL,1,109,19,12,101,108,1%,9,9,9,31,31,31,20.1,20.1,19.2,21.0,30.0,19.8,4.7,31.7,34.0,8.1
Dwight Howard,1,,C,4200,LAL,CHA,1,115,,,101,110,2%,3,3,3,19,19,19,17.4,17.4,12.6,22.1,18.5,19.5,4.6,22.9,39.0,9.3
Tim Hardaway Jr.,1,,SG/SF,4100,DAL,POR,1,111,23,14,102,108,4%,8,8,8,22,22,22,10.0,10.0,5.4,14.6,21.5,17.5,4.3,21.9,12.8,3.1
Jalen Brunson,3,,PG/SG,4000,DAL,POR,1,111,20,13,102,108,-1%,11,11,11,27,27,27,24.5,24.5,19.6,29.4,26.5,23.1,5.8,26.5,10.0,2.5
Derrick Jones Jr.,,O,SF/PF,4000,MIA,@MIN,0,109,15,14,103,110,8%,5,5,5,16,16,16,11.9,11.9,1.8,22.0,0.0,0.0,0.0,0,0.0,0.0
Brandon Clarke,5,Q,PF/C,3900,MEM,BKN,1,110,,,103,107,1%,8,8,8,24,24,24,25.3,25.3,18.9,31.6,22.5,25.2,6.5,25.9,25.3,6.5
Avery Bradley,1,,PG/SG,3800,LAL,CHA,1,115,14,8,101,110,6%,8,8,8,25,25,25,16.8,16.8,9.7,23.8,25.5,16.1,4.2,27.8,10.8,2.8
Kentavious Caldwell-Pope,1,,SG/SF,3800,LAL,CHA,1,115,18,13,101,110,6%,5,5,5,24,24,24,8.4,8.4,7.5,9.3,21.0,15.5,4.1,18.6,16.8,4.4
Treveon Graham,1,,SF/PF,3700,MIN,MIA,1,116,13,6,101,105,0%,11,11,11,29,29,29,19.8,19.8,13.0,26.5,23.5,15.2,4.1,19.9,9.5,2.6
Jarrett Culver,1,,SG/SF,3700,MIN,MIA,1,116,,,101,105,-6%,4,4,4,15,15,15,6.1,6.1,4.2,8.1,14.0,12.7,3.4,12.8,4.3,1.2
Josh Okogie,1,,SG/SF,3600,MIN,MIA,1,116,15,9,101,105,-4%,6,6,6,21,21,21,23.1,23.1,21.2,25.1,20.5,16.1,4.5,19.7,22.0,6.1
Dillon Brooks,3,,SG/SF,3600,MEM,BKN,1,110,,,103,107,-2%,10,10,10,24,24,24,17.5,17.5,16.4,18.6,27.0,20.1,5.6,37.5,30.0,8.3
Malik Monk,1,,PG/SG,3600,CHA,@LAL,1,102,24,12,106,107,5%,4,4,4,18,18,18,8.5,8.5,3.2,13.8,19.5,18.2,5.1,14.1,3.0,0.8
Kyle Anderson,2,,SF/PF,3500,MEM,BKN,1,110,13,13,103,107,-2%,5,5,5,21,21,21,21.4,21.4,13.1,29.7,21.5,17.5,5.0,23.7,27.5,7.9
Willy Hernangomez,,,C,3400,CHA,@LAL,1,102,22,20,106,107,8%,6,6,6,20,20,20,17.0,17.0,17.0,17.0,0.0,0.0,0.0,2.3,1.5,0.4
Jake Layman,1,,SF/PF,3400,MIN,MIA,1,116,16,14,101,105,0%,10,10,10,24,24,24,16.4,16.4,15.5,17.3,22.0,17.3,5.1,25.8,14.3,4.2
Meyers Leonard,1,,PF/C,3400,MIA,@MIN,0,109,15,16,103,110,-1%,3,3,3,21,21,21,12.5,12.5,3.0,22.0,22.0,18.8,5.5,14.1,10.8,3.2
Garrett Temple,1,,SG/SF,3400,BKN,@MEM,1,115,11,8,99,106,1%,5,5,5,18,18,18,10.8,10.8,6.2,15.3,16.0,10.0,2.9,18.3,13.3,3.9
Mario Hezonja,1,,SF/PF,3400,POR,@DAL,1,109,21,11,101,108,1%,3,3,3,18,18,18,9.0,9.0,6.2,11.8,18.0,14.5,4.3,24.9,21.0,6.2
