Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,11,,PG/SF,10700,LAL,ATL,1,117,34,28,104,106,19%,21,19,19,33,35,35,50.6,55.4,40.2,70.6,35.5,57.1,5.3,33.1,68.3,6.4
Joel Embiid,0,,C,9600,PHI,@CLE,1,112,33,28,102,105,3%,22,17,17,36,33,30,50.6,49.5,37.7,61.2,31.5,52.3,5.4,22.5,25.0,2.6
Bradley Beal,7,,SG,9600,WAS,@ORL,1,110,34,23,100,100,-10%,25,23,23,38,38,36,50.0,48.5,33.8,63.1,37.5,45.2,4.7,39.6,56.5,5.9
Trae Young,7,,PG,9400,ATL,@LAL,0,103,37,26,103,97,-8%,17,21,21,32,38,36,55.3,51.8,34.8,68.7,36.0,50.2,5.3,39.1,46.3,4.9
Anthony Davis,7,,PF/C,9200,LAL,ATL,1,117,30,27,104,106,-8%,15,16,19,37,35,35,45.9,50.8,40.0,61.6,35.0,56.0,6.1,28.4,30.8,3.3
Kemba Walker,1,,PG,8800,BOS,@SAC,1,109,29,24,101,109,7%,18,17,18,35,33,34,42.0,42.2,31.3,53.1,34.5,41.6,4.7,32,30.8,3.5
Nikola Jokic,4,,C,8700,DEN,@MEM,2,111,28,21,107,108,-1%,17,18,15,29,31,31,41.3,41.7,29.8,53.6,31.0,43.4,5.0,25.6,26.8,3.1
Kevin Love,0,,PF/C,8500,CLE,PHI,2,105,24,21,104,104,-14%,16,13,13,35,33,33,36.5,42.8,33.9,51.7,33.5,41.3,4.9,25.3,20.5,2.4
Jrue Holiday,11,,PG/SG,8400,NOR,GSW,0,116,25,15,105,114,2%,18,16,16,37,36,35,43.3,38.6,27.1,50.1,37.5,48.2,5.7,37.5,47.5,5.7
Nikola Vucevic,13,,C,8200,ORL,WAS,1,116,25,20,108,111,18%,17,16,16,35,34,32,48.6,40.8,30.5,51.0,33.5,51.1,6.2,32.9,63.8,7.8
Ben Simmons,0,,PG/SF,7900,PHI,@CLE,1,112,22,17,102,105,3%,10,11,12,40,38,37,38.9,39.4,33.3,45.5,35.0,39.7,5.0,25.8,37.5,4.7
D'Angelo Russell,,O,PG/SG,7700,GSW,@NOR,1,112,34,22,110,111,21%,12,21,19,28,33,32,48.7,41.2,21.9,60.5,0.0,0.0,0.0,0,0.0,0.0
Jaylen Brown,1,,SG/SF,7500,BOS,@SAC,1,109,24,21,101,109,-1%,18,16,15,35,34,32,38.0,35.8,24.4,47.1,35.0,34.7,4.6,35.4,32.0,4.3
Brandon Ingram,0,O,SF/PF,7400,NOR,GSW,0,116,30,24,105,114,4%,19,19,20,34,34,35,46.1,47.7,38.3,57.1,0.0,0.0,0.0,0,0.0,0.0
Jayson Tatum,3,,SF/PF,7200,BOS,@SAC,1,109,27,16,101,109,5%,22,18,19,36,35,35,33.8,37.1,29.8,44.4,35.0,36.4,5.1,30.3,26.5,3.7
Jabari Parker,2,,SF/PF,7200,ATL,@LAL,0,103,25,22,103,97,-19%,14,17,13,28,32,27,40.5,30.9,18.0,43.7,32.5,34.4,4.8,32,32.0,4.4
