Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,8,,PG/SG,10600,HOU,@MIA,1,119,41,31,101,105,-6%,32,25,25,37,37,37,56.3,56.3,42.0,70.6,36.0,58.7,5.5,26.4,39.0,3.7
Anthony Davis,10,,PF/C,10200,LAL,@SAS,1,110,29,30,100,108,1%,23,20,20,37,35,35,56.1,56.1,45.2,67.1,35.0,52.7,5.2,36,48.8,4.8
Kawhi Leonard,11,,SF/PF,9800,LAC,UTA,2,109,30,26,103,103,-3%,25,22,22,32,30,30,54.3,54.3,44.9,63.7,33.0,48.1,4.9,33.8,50.0,5.1
LeBron James,17,,PG/SF,9300,LAL,@SAS,1,110,33,26,100,108,-7%,19,19,19,35,35,35,56.0,56.0,34.1,77.9,35.0,52.5,5.6,37.3,62.3,6.7
Luka Doncic,21,,PG/SG,9200,DAL,@CLE,1,112,31,20,99,115,6%,18,19,19,35,36,36,56.0,56.0,37.9,74.1,34.5,50.8,5.5,33.5,73.5,8.0
Russell Westbrook,19,,PG,9100,HOU,@MIA,1,119,33,21,101,105,-6%,21,18,18,36,35,35,58.3,58.3,52.7,63.8,35.0,52.9,5.8,26.2,25.0,2.7
Kevin Love,8,,PF/C,9000,CLE,DAL,1,107,27,20,101,108,-1%,13,11,11,33,34,34,48.2,48.2,40.4,56.0,33.0,44.6,5.0,35.1,47.5,5.3
Paul George,,O,SF/PF,8700,LAC,UTA,2,109,30,23,103,103,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jimmy Butler,9,,SG/SF,8200,MIA,HOU,2,115,23,20,100,108,-1%,11,11,11,33,33,33,41.8,41.8,31.9,51.6,34.0,41.3,5.0,27.4,50.8,6.2
De'Aaron Fox,9,,PG,8000,SAC,@NYK,1,108,26,18,102,111,0%,17,15,14,37,33,32,36.8,33.0,19.9,46.2,35.5,41.8,5.2,34.8,38.5,4.8
Bam Adebayo,8,,C,7900,MIA,HOU,2,115,16,18,100,108,-3%,6,8,8,34,33,33,40.8,40.8,34.4,47.1,33.0,40.0,5.1,25.9,25.8,3.3
Kristaps Porzingis,14,,PF/C,7600,DAL,@CLE,1,112,,,99,115,4%,15,17,17,35,33,33,39.6,39.6,28.5,50.7,33.0,38.3,5.0,31.1,43.8,5.8
Rudy Gobert,11,,C,7500,UTA,@LAC,1,104,17,25,104,109,12%,7,6,6,35,33,34,31.0,29.9,19.4,40.4,34.5,39.1,5.2,34,31.0,4.1
DeMar DeRozan,10,,SG/SF,7400,SAS,LAL,1,108,28,20,106,107,5%,14,16,16,32,33,33,34.5,34.5,27.4,41.5,33.5,37.3,5.0,34,30.8,4.2
Julius Randle,12,,PF/C,7300,NYK,SAC,1,106,28,21,106,109,2%,10,12,13,35,34,35,32.8,36.5,26.0,47.0,34.0,39.6,5.4,26.9,19.3,2.6
Donovan Mitchell,14,,PG/SG,7200,UTA,@LAC,1,104,31,17,104,109,-6%,18,17,18,35,33,34,35.6,38.9,29.2,48.6,35.0,37.4,5.2,34,55.0,7.6
