Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,6,,C,9600,DEN,IND,2,107,28,24,101,104,1%,15,15,15,36,34,32,48.0,44.9,32.5,57.3,34.0,49.8,5.2,31.7,56.5,5.9
Bam Adebayo,2,,C,8800,MIA,@SAS,1,112,20,21,103,110,0%,13,11,11,34,33,35,39.1,41.0,30.5,51.5,34.5,41.0,4.7,36.2,54.5,6.2
DeMar DeRozan,5,,SG/SF,8400,SAS,MIA,1,111,27,22,101,106,-1%,16,16,16,37,36,35,50.4,39.2,30.9,47.5,35.5,41.7,5.0,37.6,45.8,5.5
Jimmy Butler,7,,SG/SF,8200,MIA,@SAS,1,112,26,24,103,110,0%,10,12,13,34,33,35,40.5,43.3,33.3,53.3,34.5,41.7,5.1,33.2,35.3,4.3
Domantas Sabonis,10,,PF/C,7900,IND,@DEN,1,106,23,21,100,105,-3%,15,14,14,34,35,34,48.9,43.8,35.8,51.8,34.0,42.7,5.4,40.7,58.3,7.4
Will Barton,6,,PG/SF,7600,DEN,IND,2,107,20,16,101,104,-2%,16,16,13,37,36,34,38.1,33.4,23.1,43.8,34.5,33.6,4.4,35.9,33.3,4.4
Malcolm Brogdon,5,,PG/SG,7300,IND,@DEN,1,106,28,20,100,105,-5%,15,15,15,31,32,32,35.4,38.6,29.9,47.4,32.0,35.7,4.9,35.9,37.8,5.2
LaMarcus Aldridge,8,,PF/C,6900,SAS,MIA,1,111,22,21,101,106,1%,16,13,15,31,32,34,30.6,38.1,27.7,48.5,33.5,38.1,5.5,35.9,36.5,5.3
Jamal Murray,,O,PG,6600,DEN,IND,2,107,26,17,101,104,0%,17,17,16,37,35,33,36.7,34.0,23.2,44.8,0.0,0.0,0.0,0,0.0,0.0
Victor Oladipo,,O,PG/SG,6500,IND,@DEN,1,106,,,100,105,-4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Michael Porter Jr.,2,,SF/PF,6300,DEN,IND,2,107,22,19,101,104,-5%,12,7,5,29,19,12,22.4,13.1,1.8,24.3,27.0,27.4,4.3,22.7,24.0,3.8
T.J. Warren,2,,SF/PF,6000,IND,@DEN,1,106,22,16,100,105,-8%,15,16,15,32,33,33,35.7,28.8,18.7,38.8,31.5,26.3,4.4,33.4,29.3,4.9
Myles Turner,2,,C,5700,IND,@DEN,1,106,18,15,100,105,-3%,6,10,10,24,29,30,31.4,28.3,18.4,38.1,28.0,26.4,4.6,19.6,8.0,1.4
