Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,,O,PG/SF,11800,DAL,BOS,1,107,39,32,102,102,-12%,24,21,20,34,31,33,55.3,60.7,46.6,74.7,0.0,0.0,0.0,0,0.0,0.0
Karl-Anthony Towns,4,O,C,10700,MIN,NOR,4,117,29,29,106,112,1%,19,17,18,36,36,34,52.4,55.0,43.9,66.1,0.0,0.0,0.0,0,0.0,0.0
Joel Embiid,8,,C,9800,PHI,MIA,2,108,32,25,102,104,-10%,19,15,16,34,33,31,49.9,48.4,35.5,61.3,31.5,48.1,4.9,35.3,57.8,5.9
Bradley Beal,21,,SG,9500,WAS,CHI,1,115,32,21,103,104,-4%,24,20,22,36,37,37,44.3,47.4,35.3,59.4,37.0,52.5,5.5,40.7,45.3,4.8
Andre Drummond,5,,C,9200,DET,TOR,1,108,24,23,104,101,-7%,13,15,14,30,33,34,52.0,49.5,36.3,62.6,33.5,47.8,5.2,37.2,52.0,5.7
Nikola Jokic,6,,C,9100,DEN,ORL,2,107,27,22,100,105,-7%,18,17,14,35,34,31,51.3,43.1,30.9,55.4,33.0,46.9,5.2,30.5,51.8,5.7
Damian Lillard,14,,PG,9000,POR,GSW,1,115,29,24,102,110,5%,19,19,19,37,37,37,41.3,46.3,36.2,56.3,36.5,45.1,5.0,37.3,61.8,6.9
Jimmy Butler,9,,SG/SF,8900,MIA,@PHI,1,101,26,24,102,102,-11%,17,17,14,41,41,36,46.0,44.8,34.3,55.4,37.0,41.7,4.7,33.8,32.3,3.6
Pascal Siakam,7,,PF/C,8800,TOR,@DET,1,109,29,19,102,108,3%,25,21,21,35,36,37,42.9,45.1,34.6,55.5,36.5,43.0,4.9,35.1,48.8,5.5
Hassan Whiteside,11,,C,8500,POR,GSW,1,115,20,26,102,110,0%,14,12,11,33,31,29,45.6,39.5,29.3,49.8,31.0,44.8,5.3,32.9,50.3,5.9
Stephen Curry,,O,PG,8400,GSW,@POR,2,106,,,104,108,3%,14,17,17,26,28,28,39.4,39.4,27.7,51.0,0.0,0.0,0.0,0,0.0,0.0
Kristaps Porzingis,19,,PF/C,8300,DAL,BOS,1,107,25,17,102,102,1%,20,16,16,36,32,31,38.4,37.0,25.7,48.3,33.5,44.9,5.4,37.6,51.8,6.2
Ben Simmons,5,,PG/SF,8200,PHI,MIA,2,108,22,19,102,104,-10%,13,10,11,33,36,35,37.6,41.0,32.7,49.3,36.0,39.7,4.8,42.5,38.0,4.6
Zach LaVine,14,,PG/SG,8100,CHI,@WAS,1,114,30,19,107,115,9%,23,20,18,35,36,33,39.9,37.4,25.1,49.8,34.5,41.5,5.1,43.8,42.8,5.3
Jusuf Nurkic,,O,C,8100,POR,GSW,1,115,,,102,110,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Brandon Ingram,12,,SF/PF,8000,NOR,@MIN,0,113,29,22,106,110,8%,20,20,19,34,34,35,41.0,43.5,35.2,51.8,34.5,41.1,5.1,33.8,56.0,7.0
Bam Adebayo,4,,C,8000,MIA,@PHI,1,101,20,20,102,102,-13%,12,12,10,41,40,34,52.8,40.8,28.8,52.7,36.0,38.0,4.8,33.6,48.3,6.0
Devonte' Graham,4,,PG,7900,CHA,@CLE,0,105,28,18,101,114,10%,17,17,16,38,37,34,41.9,38.4,27.9,48.9,36.0,31.2,3.9,38.1,29.8,3.8
Jrue Holiday,14,,PG/SG,7800,NOR,@MIN,0,113,26,17,106,110,7%,24,20,18,39,37,37,41.5,41.4,31.6,51.2,36.0,40.9,5.2,33.3,30.8,3.9
D'Angelo Russell,4,,PG/SG,7800,GSW,@POR,2,106,33,18,104,108,3%,15,17,18,29,31,31,31.8,37.2,19.9,54.4,32.5,39.8,5.1,33,45.8,5.9
Kyle Lowry,11,,PG,7700,TOR,@DET,1,109,23,17,102,108,9%,14,13,14,38,37,39,36.1,40.1,33.0,47.2,36.5,39.7,5.2,39.4,58.0,7.5
Andrew Wiggins,13,,SG/SF,7600,MIN,NOR,4,117,29,20,106,112,2%,22,20,21,38,35,35,37.8,40.1,30.4,49.8,36.0,44.2,5.8,41.9,38.8,5.1
Chris Paul,12,,PG,7500,OKC,MEM,1,113,23,21,106,109,4%,10,12,12,35,33,32,43.4,35.8,26.5,45.2,33.5,40.1,5.3,30.6,35.0,4.7
Kemba Walker,17,,PG,7400,BOS,@DAL,5,109,30,23,102,106,-11%,25,19,18,36,32,33,47.0,41.6,30.1,53.0,35.5,42.8,5.8,35.8,45.3,6.1
Tobias Harris,4,,SF/PF,7300,PHI,MIA,2,108,24,18,102,104,-6%,19,19,16,35,36,35,40.8,37.0,29.0,45.1,35.0,36.9,5.1,39.3,28.0,3.8
Ja Morant,2,,PG,7200,MEM,@OKC,1,107,30,20,101,105,-2%,13,12,15,30,31,30,32.9,35.4,25.1,45.7,31.0,34.4,4.8,32.9,38.8,5.4
Jayson Tatum,12,,SF/PF,7100,BOS,@DAL,5,109,28,17,102,106,3%,16,17,18,36,33,35,37.6,37.9,29.0,46.9,37.0,41.1,5.8,36.6,37.0,5.2
Nikola Vucevic,7,,C,7000,ORL,@DEN,0,97,25,22,100,101,-1%,15,16,16,31,33,32,43.7,41.5,30.4,52.7,31.0,38.1,5.4,32.8,38.8,5.5
CJ McCollum,7,,PG/SG,6900,POR,GSW,1,115,26,17,102,110,10%,16,16,19,38,36,37,31.8,36.8,24.1,49.4,36.5,37.1,5.4,38.3,43.3,6.3
Kevin Love,7,,PF/C,6800,CLE,CHA,1,108,23,18,100,110,13%,10,14,12,26,30,30,34.4,35.5,22.1,48.8,29.0,35.3,5.2,32.4,50.0,7.4
Jaylen Brown,11,,SG/SF,6700,BOS,@DAL,5,109,23,18,102,106,-4%,11,14,15,38,35,34,33.8,35.2,25.4,45.1,37.0,36.3,5.4,35.2,40.8,6.1
Derrick Rose,1,,PG/SG,6600,DET,TOR,1,108,33,22,104,101,-1%,19,18,14,28,27,25,36.6,30.8,22.5,39.0,26.5,30.8,4.7,28.4,30.0,4.5
Fred VanVleet,,O,PG/SG,6500,TOR,@DET,1,109,22,17,102,108,9%,15,14,15,41,37,38,40.6,39.2,29.7,48.6,0.0,0.0,0.0,0,0.0,0.0
Davis Bertans,22,,SF/PF,6500,WAS,CHI,1,115,17,18,103,104,-1%,10,14,11,31,31,29,35.7,27.8,17.9,37.7,36.5,39.6,6.1,36.7,43.3,6.7
Zion Williamson,,O,PF/C,6500,NOR,@MIN,0,113,,,106,110,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Will Barton,3,,PG/SF,6400,DEN,ORL,2,107,20,17,100,105,1%,15,13,13,32,33,33,36.7,33.2,23.5,42.9,33.5,32.2,5.0,39.4,28.3,4.4
Steven Adams,6,,C,6400,OKC,MEM,1,113,17,21,106,109,1%,12,9,8,29,29,28,33.1,31.0,21.8,40.3,28.0,32.3,5.0,30.3,33.0,5.2
Jaren Jackson Jr.,4,,PF/C,6400,MEM,@OKC,1,107,24,16,101,105,-12%,12,15,14,29,30,28,36.8,30.4,19.5,41.2,30.5,31.5,4.9,15.8,15.8,2.5
Norman Powell,3,,SG/SF,6400,TOR,@DET,1,109,19,16,102,108,-1%,15,13,11,34,31,29,32.8,25.3,14.4,36.2,34.0,30.7,4.8,33.1,16.8,2.6
Gordon Hayward,,O,SF/PF,6300,BOS,@DAL,5,109,23,21,102,106,3%,12,14,14,31,30,32,36.4,35.0,21.4,48.6,0.0,0.0,0.0,0,0.0,0.0
Jonas Valanciunas,2,,C,6300,MEM,@OKC,1,107,22,20,101,105,5%,8,8,10,27,25,25,26.9,31.8,19.2,44.4,26.0,30.1,4.8,26.1,40.3,6.4
Danilo Gallinari,7,,SF/PF,6300,OKC,MEM,1,113,23,19,106,109,8%,15,14,13,31,33,31,29.9,30.9,23.2,38.6,31.0,33.6,5.3,30.3,29.8,4.7
Carmelo Anthony,6,,SF/PF,6300,POR,GSW,1,115,23,14,102,110,-1%,16,15,15,36,33,32,32.6,30.1,19.7,40.6,34.5,31.0,4.9,30.3,35.0,5.6
PJ Washington,,O,PF/C,6300,CHA,@CLE,0,105,18,14,101,114,4%,12,12,10,38,37,30,31.1,26.0,17.1,34.8,0.0,0.0,0.0,0,0.0,0.0
Al Horford,4,,PF/C,6200,PHI,MIA,2,108,20,18,102,104,3%,16,12,12,29,31,31,31.6,33.1,25.1,41.1,30.5,31.7,5.1,32,22.5,3.6
Jamal Murray,2,,PG/SG,6200,DEN,ORL,2,107,26,17,100,105,-3%,15,14,16,33,32,33,28.4,33.6,23.0,44.3,32.5,32.7,5.3,36,41.8,6.7
Jonathan Isaac,2,,SF/PF,6100,ORL,@DEN,0,97,18,17,100,101,-7%,9,10,11,32,31,31,30.4,32.0,21.2,42.8,32.0,28.0,4.6,17.1,12.3,2.0
Shai Gilgeous-Alexander,6,,PG/SG,6100,OKC,MEM,1,113,24,14,106,109,8%,8,12,15,36,36,35,28.2,31.5,21.5,41.6,35.0,33.8,5.5,38.7,40.3,6.6
Terry Rozier,7,,PG/SG,6000,CHA,@CLE,0,105,25,14,101,114,10%,14,14,15,29,33,34,28.1,31.7,21.4,42.0,34.0,33.0,5.5,37.5,51.8,8.6
Evan Fournier,1,,SG/SF,6000,ORL,@DEN,0,97,26,20,100,101,-9%,16,17,15,31,30,31,31.5,31.0,22.3,39.7,31.5,26.2,4.4,31.4,22.8,3.8
Aaron Gordon,2,,SF/PF,6000,ORL,@DEN,0,97,21,15,100,101,-7%,11,12,12,32,34,32,28.8,29.9,20.4,39.4,32.5,27.9,4.6,33.5,25.8,4.3
