Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,15,,PF,11600,MIL,@TOR,0,117,38,33,103,102,3%,15,19,20,27,31,31,61.4,60.8,49.8,71.8,33.0,63.1,5.4,38,61.3,5.3
LeBron James,15,,PG,10700,LAL,NOR,1,124,34,26,106,109,3%,18,20,20,36,35,35,53.0,55.2,44.8,65.5,35.0,57.8,5.4,34.2,60.0,5.6
Anthony Davis,16,P,PF/C,10300,LAL,NOR,1,124,29,28,106,109,7%,21,19,18,35,36,35,57.0,52.1,40.0,64.3,35.0,55.6,5.4,36,57.5,5.6
Nikola Jokic,9,,C,10000,DEN,DET,1,114,29,26,100,110,2%,15,15,16,33,35,33,50.3,48.6,35.6,61.7,33.5,53.2,5.3,28,34.3,3.4
Damian Lillard,,O,PG,9800,POR,BOS,1,108,32,27,102,104,-6%,21,23,21,37,37,38,49.6,51.2,37.0,65.4,0.0,0.0,0.0,0,0.0,0.0
Hassan Whiteside,6,,C,9200,POR,BOS,1,108,19,25,102,104,-6%,15,12,11,35,33,31,43.8,42.8,31.0,54.6,34.5,50.3,5.5,36.1,48.8,5.3
Domantas Sabonis,8,,PF/C,9000,IND,CHA,1,110,24,21,99,111,6%,16,15,14,34,34,35,42.8,44.1,34.9,53.3,35.5,47.0,5.2,31.3,54.8,6.1
CJ McCollum,12,,PG/SG,9000,POR,BOS,1,108,26,17,102,104,-2%,26,22,20,40,38,37,42.5,36.9,25.4,48.5,39.0,44.7,5.0,37.5,55.5,6.2
Zach LaVine,8,,SG,8900,CHI,OKC,1,106,31,20,101,106,1%,20,21,20,36,38,35,48.5,41.2,29.3,53.2,36.0,43.9,4.9,39,54.3,6.1
Jayson Tatum,19,,SF/PF,8800,BOS,@POR,1,115,28,20,103,111,6%,21,20,19,36,38,34,50.5,41.2,30.4,51.9,36.0,48.2,5.5,34.4,50.8,5.8
Pascal Siakam,7,,PF/C,8500,TOR,MIL,1,116,28,19,107,100,3%,16,18,19,34,35,35,44.4,43.0,32.1,53.8,36.0,43.1,5.1,38.3,36.5,4.3
Stephen Curry,,O,PG,8300,GSW,SAC,1,108,,,101,109,-1%,14,17,17,26,28,28,39.4,39.4,27.7,51.0,0.0,0.0,0.0,0,0.0,0.0
Kyle Lowry,9,,PG,8100,TOR,MIL,1,116,24,18,107,100,-1%,12,13,14,33,34,37,47.5,41.8,31.8,51.7,35.5,39.7,4.9,41,24.5,3.0
Chris Paul,5,,PG,8000,OKC,@CHI,1,114,24,22,102,107,-11%,15,15,13,31,32,32,42.7,37.6,28.5,46.7,33.0,39.2,4.9,34.9,37.8,4.7
Zion Williamson,5,,PF/C,8000,NOR,@LAL,1,116,,,103,104,-6%,19,17,16,31,29,29,40.3,36.8,29.6,43.9,32.5,39.3,4.9,32.9,41.5,5.2
