Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,9,,PG/SF,11400,DAL,@LAL,0,110,39,31,103,102,-3%,20,20,20,31,32,33,60.5,61.0,46.9,75.0,34.0,58.0,5.1,30.3,35.5,3.1
James Harden,4,O,PG/SG,10700,HOU,@NOR,0,110,38,32,106,110,10%,23,21,25,39,37,38,61.8,63.8,51.6,76.0,0.0,0.0,0.0,0,0.0,0.0
LeBron James,10,,PG/SF,9800,LAL,DAL,0,114,35,26,102,106,-1%,20,20,20,38,37,36,57.0,56.0,44.8,67.1,36.0,54.5,5.6,34.3,45.5,4.6
Anthony Davis,3,,PF/C,9700,LAL,DAL,0,114,31,29,102,106,-1%,17,21,20,38,38,35,51.5,52.5,41.9,63.1,35.5,52.8,5.4,35.9,44.3,4.6
Russell Westbrook,2,O,PG,9200,HOU,@NOR,0,110,34,19,106,110,10%,30,27,22,39,38,36,52.6,49.3,38.1,60.5,0.0,0.0,0.0,0,0.0,0.0
Nikola Jokic,7,,C,9100,DEN,SAC,0,108,27,23,99,108,-5%,20,15,15,32,31,31,53.1,45.0,32.7,57.4,32.5,48.0,5.3,26.5,33.0,3.6
Kristaps Porzingis,1,,PF/C,8200,DAL,@LAL,0,110,25,17,103,102,-5%,14,16,16,31,34,33,44.2,39.7,29.7,49.7,33.0,36.9,4.5,29.6,24.3,3.0
Brandon Ingram,11,,SF/PF,8100,NOR,HOU,0,115,29,22,106,107,11%,17,18,19,35,36,35,47.1,44.1,36.0,52.2,36.0,45.5,5.6,36.5,46.0,5.7
Devonte' Graham,8,,PG,7900,CHA,@MEM,1,109,28,17,106,110,5%,19,18,16,39,39,35,38.6,38.5,28.2,48.8,37.0,40.2,5.1,35,42.5,5.4
Jrue Holiday,6,,PG/SG,7800,NOR,HOU,0,115,27,17,106,107,-4%,17,19,18,30,34,36,39.6,41.1,31.9,50.3,35.5,41.2,5.3,35.5,41.0,5.3
Clint Capela,,O,C,7400,HOU,@NOR,0,110,15,21,106,110,1%,11,10,10,35,37,34,39.1,40.3,29.5,51.1,0.0,0.0,0.0,0,0.0,0.0
Richaun Holmes,1,,PF/C,7100,SAC,@DEN,0,101,15,22,100,102,-3%,11,10,8,40,33,29,37.5,29.8,17.6,42.0,34.5,34.0,4.8,30.9,30.0,4.2
Terry Rozier,6,,PG/SG,6900,CHA,@MEM,1,109,25,15,106,110,5%,18,20,16,37,36,34,37.8,32.7,22.2,43.1,35.0,34.8,5.0,37.1,23.0,3.3
Jamal Murray,4,,PG/SG,6800,DEN,SAC,0,108,26,17,99,108,-5%,12,15,16,32,33,33,32.0,33.6,22.6,44.7,35.0,35.8,5.3,32.7,34.5,5.1
Jonas Valanciunas,6,,C,6700,MEM,CHA,0,112,22,21,100,110,8%,11,13,11,26,27,25,36.3,32.6,20.8,44.3,26.0,33.6,5.0,22.9,33.3,5.0
Jaren Jackson Jr.,9,,PF/C,6600,MEM,CHA,0,112,24,17,100,110,11%,16,15,14,32,32,29,35.5,31.2,20.9,41.5,31.0,35.1,5.3,25.5,35.0,5.3
Derrick Favors,6,,PF/C,6500,NOR,HOU,0,115,17,18,106,107,5%,9,8,7,29,27,22,33.4,26.3,13.4,39.2,30.0,33.1,5.1,34.9,38.0,5.8
Ja Morant,3,,PG,6400,MEM,CHA,0,112,29,18,100,110,-2%,10,12,14,28,29,30,26.9,33.9,24.0,43.8,30.0,33.8,5.3,28.4,19.3,3.0
De'Aaron Fox,3,,PG,6300,SAC,@DEN,0,101,30,19,100,102,-8%,17,13,14,33,30,31,38.4,36.1,25.8,46.3,30.5,33.5,5.3,32.7,39.5,6.3
Buddy Hield,0,,SG/SF,6200,SAC,@DEN,0,101,27,15,100,102,-8%,19,16,18,37,34,35,25.2,34.7,24.1,45.3,32.5,30.4,4.9,35.6,44.3,7.1
Will Barton,10,,PG/SF,6100,DEN,SAC,0,108,20,16,99,108,4%,14,12,13,34,34,34,32.3,32.8,23.2,42.5,35.0,33.3,5.5,30.4,32.3,5.3
Bogdan Bogdanovic,3,,SG/SF,6000,SAC,@DEN,0,101,25,15,100,102,-8%,20,14,13,38,33,29,29.3,27.5,16.0,39.0,30.5,27.7,4.6,26.7,18.8,3.1
Marvin Bagley III,,O,PF/C,5800,SAC,@DEN,0,101,26,17,100,102,-3%,11,11,12,21,24,24,26.3,25.7,20.8,30.6,0.0,0.0,0.0,0,0.0,0.0
Zion Williamson,,O,PF/C,5800,NOR,HOU,0,115,,,106,107,5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nemanja Bjelica,1,,PF,5700,SAC,@DEN,0,101,19,17,100,102,-3%,9,10,9,23,26,26,22.1,26.1,16.3,35.8,29.5,27.9,4.9,32.5,41.5,7.3
PJ Washington,3,,PF/C,5500,CHA,@MEM,1,109,18,14,106,110,1%,16,11,10,38,37,30,29.8,25.8,17.1,34.5,33.0,27.7,5.0,28.2,26.5,4.8
Lonzo Ball,4,,PG,5400,NOR,HOU,0,115,21,11,106,107,-4%,12,11,10,33,25,28,26.4,26.7,17.1,36.2,30.5,29.3,5.4,40.4,59.0,10.9
Tim Hardaway Jr.,1,,SG/SF,5300,DAL,@LAL,0,110,22,14,103,102,-3%,14,17,12,25,30,26,29.7,22.2,11.1,33.3,29.5,23.4,4.4,6.6,5.3,1.0
Cody Zeller,2,,PF/C,5200,CHA,@MEM,1,109,20,19,106,110,3%,7,8,8,20,25,24,25.1,25.3,15.1,35.4,22.5,24.1,4.6,19.2,20.8,4.0
Harrison Barnes,,,SF/PF,5100,SAC,@DEN,0,101,19,14,100,102,-10%,14,12,12,40,35,36,25.4,28.0,19.5,36.4,33.5,23.7,4.6,29.3,9.8,1.9
Gary Harris,2,O,SG,5000,DEN,SAC,0,108,15,11,99,108,4%,12,10,10,36,35,34,25.1,22.7,15.6,29.8,0.0,0.0,0.0,0,0.0,0.0
