Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,19,,PG/SG,11600,HOU,@GSW,1,121,39,32,103,110,6%,23,25,25,36,37,38,57.5,63.6,51.3,76.0,37.0,61.6,5.3,38.2,57.5,5.0
Giannis Antetokounmpo,8,,SF/PF,11300,MIL,@PHI,2,112,38,35,102,103,-11%,14,19,20,29,30,32,61.4,61.8,50.8,72.9,34.0,60.9,5.4,30.3,50.0,4.4
Anthony Davis,10,,PF/C,10100,LAL,LAC,2,113,31,29,106,103,-5%,24,22,20,38,38,35,55.5,53.3,42.6,63.9,36.0,54.4,5.4,39.4,43.0,4.3
LeBron James,11,,PG/SF,9900,LAL,LAC,2,113,35,27,106,103,-4%,20,21,20,36,37,36,57.1,55.8,44.3,67.2,36.0,54.1,5.5,38.8,56.8,5.7
Joel Embiid,9,,C,9800,PHI,MIL,1,109,31,26,107,99,1%,12,17,16,29,31,31,51.8,49.0,36.6,61.4,33.0,52.0,5.3,28.4,55.8,5.7
Nikola Jokic,12,,C,9400,DEN,NOR,1,113,27,23,106,110,1%,11,15,14,29,32,31,51.4,44.3,32.1,56.5,32.5,47.6,5.1,30.9,45.5,4.8
Pascal Siakam,,O,PF/C,9100,TOR,BOS,1,105,29,19,101,101,0%,24,22,21,35,36,37,46.8,45.2,34.9,55.5,0.0,0.0,0.0,0,0.0,0.0
Russell Westbrook,17,,PG,8900,HOU,@GSW,1,121,33,19,103,110,6%,22,23,21,36,38,35,51.5,49.3,37.6,60.9,37.0,52.4,5.9,39.8,52.0,5.8
Kawhi Leonard,10,,SF/PF,8700,LAC,@LAL,2,111,34,26,103,102,-6%,18,17,20,32,32,32,46.1,47.7,38.4,56.9,33.0,44.9,5.2,37.9,62.0,7.1
Kyle Lowry,8,,PG,8500,TOR,BOS,1,105,24,18,101,101,-10%,22,18,15,43,40,39,52.2,43.3,34.1,52.4,39.0,43.0,5.1,37.3,36.0,4.2
Stephen Curry,,O,PG,8400,GSW,HOU,1,109,,,106,107,-4%,14,17,17,26,28,28,39.4,39.4,27.7,51.0,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,7,,PG/SF,8100,PHI,MIL,1,109,22,19,107,99,3%,12,11,11,35,35,36,43.3,41.6,32.9,50.2,36.0,41.2,5.1,38,55.3,6.8
