Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,7,,SF/PF,10700,MIL,TOR,0,117,32,31,103,104,-4%,15,16,16,33,32,32,58.9,58.9,46.3,71.5,33.5,61.5,5.7,36.4,77.3,7.2
Nikola Jokic,2,,C,10300,DEN,@ORL,1,102,29,26,100,106,-6%,7,12,12,30,31,31,43.3,43.3,29.0,57.6,31.5,45.3,4.4,31.4,35.8,3.5
Andre Drummond,13,,C,10100,DET,BKN,0,109,22,23,103,107,11%,17,14,15,35,34,35,49.6,54.4,38.4,70.4,35.5,59.4,5.9,38.9,74.5,7.4
Joel Embiid,,O,C,10000,PHI,@POR,2,112,33,26,102,108,-6%,17,16,16,26,25,25,47.6,47.6,30.0,65.1,0.0,0.0,0.0,0,0.0,0.0
Karl-Anthony Towns,,O,C,9900,MIN,@WAS,2,113,29,26,104,111,3%,14,17,17,29,31,31,58.8,58.8,34.4,83.1,0.0,0.0,0.0,0,0.0,0.0
Bradley Beal,7,,SG,9700,WAS,MIN,2,116,28,21,103,110,6%,23,23,23,40,36,36,50.6,50.6,34.1,67.1,36.0,48.7,5.0,27.9,32.0,3.3
Kyrie Irving,8,,PG,9300,BKN,@DET,0,113,30,24,100,107,-3%,19,23,23,33,34,34,55.2,55.2,40.7,69.7,33.0,48.5,5.2,33.2,52.3,5.6
Damian Lillard,10,,PG,9100,POR,PHI,2,111,31,24,104,107,-1%,24,22,22,39,38,38,52.3,52.3,46.4,58.2,36.5,48.1,5.3,39.1,57.3,6.3
Nikola Vucevic,1,,C,9000,ORL,DEN,0,99,28,26,100,107,-4%,15,15,15,30,30,30,35.4,35.4,25.8,44.9,31.5,41.0,4.6,33.8,37.3,4.1
D'Angelo Russell,5,O,PG/SG,8900,GSW,CHA,0,108,33,19,101,110,0%,18,17,17,31,30,30,33.7,33.7,18.5,48.9,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,13,,PG/SF,8700,PHI,@POR,2,112,24,20,102,108,-1%,12,13,13,35,35,35,40.1,40.1,33.1,47.0,35.0,46.2,5.3,36.4,47.8,5.5
Pascal Siakam,6,,PF/C,8500,TOR,@MIL,2,110,21,19,105,103,-2%,19,20,20,33,34,34,46.5,46.5,33.8,59.2,35.5,42.7,5.0,32.4,26.3,3.1
Devin Booker,8,,PG/SG,8300,PHO,@MEM,2,112,33,20,99,106,1%,19,19,19,33,35,35,40.3,40.3,31.4,49.2,35.0,42.2,5.1,31.5,24.3,2.9
Kyle Lowry,3,,PG,8100,TOR,@MIL,2,110,22,17,105,103,-4%,16,15,15,38,39,39,42.1,42.1,37.3,46.9,36.5,39.5,4.9,38,51.5,6.4
Blake Griffin,,O,PF,7900,DET,BKN,0,109,31,21,103,107,1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Draymond Green,,O,PF/C,7600,GSW,CHA,0,108,15,13,101,110,2%,8,8,8,29,29,29,30.4,30.4,14.0,46.7,0.0,0.0,0.0,0,0.0,0.0
Tobias Harris,10,,SF/PF,7300,PHI,@POR,2,112,23,17,102,108,4%,16,14,14,36,36,36,37.5,37.5,29.8,45.2,35.5,36.4,5.0,35.9,42.3,5.8
Thomas Bryant,9,,PF/C,7200,WAS,MIN,2,116,17,21,103,110,-1%,11,12,12,32,32,32,38.1,38.1,25.9,50.3,31.5,34.8,4.8,19.8,24.0,3.3
Khris Middleton,6,,SG/SF,7100,MIL,TOR,0,117,25,17,103,104,0%,12,14,14,27,31,31,33.1,33.1,26.7,39.5,32.5,36.9,5.2,33.7,25.0,3.5
Andrew Wiggins,2,,SG/SF,7100,MIN,@WAS,2,113,24,12,104,111,4%,17,19,19,34,34,34,30.8,30.8,28.4,33.3,34.0,35.2,5.0,26.4,39.8,5.6
Al Horford,12,,PF/C,7000,PHI,@POR,2,112,20,20,102,108,-1%,8,12,12,33,33,33,34.6,34.6,25.5,43.7,33.5,36.4,5.2,30.5,47.8,6.8
Jamal Murray,3,,PG/SG,7000,DEN,@ORL,1,102,26,16,100,106,-2%,14,15,15,30,33,33,31.6,31.6,24.3,38.8,33.0,32.5,4.6,32.3,32.0,4.6
Terry Rozier,10,,PG,6900,CHA,@GSW,2,114,19,13,103,107,-3%,16,12,12,35,30,30,31.6,31.6,21.7,41.6,33.0,35.4,5.1,36.5,35.8,5.2
Jaren Jackson Jr.,2,,PF/C,6900,MEM,PHO,3,109,22,16,103,112,1%,9,12,12,21,26,26,28.3,28.3,17.3,39.2,29.0,31.1,4.5,22.3,12.8,1.9
Hassan Whiteside,1,O,C,6800,POR,PHI,2,111,22,24,104,107,-1%,9,8,8,24,25,25,32.1,32.1,21.0,43.3,0.0,0.0,0.0,0,0.0,0.0
Ja Morant,3,,PG,6800,MEM,PHO,3,109,,,103,112,5%,18,14,14,29,28,28,31.8,31.8,19.6,43.9,28.5,33.4,4.9,28.7,39.3,5.8
CJ McCollum,6,,PG/SG,6700,POR,PHI,2,111,26,17,104,107,-5%,22,21,21,37,37,37,35.2,35.2,23.1,47.3,34.5,33.6,5.0,38.4,20.3,3.0
PJ Washington,3,,PF/C,6700,CHA,@GSW,2,114,,,103,107,-1%,11,11,11,33,34,34,29.6,29.6,21.0,38.3,34.0,32.1,4.8,32.8,24.3,3.6
Kelly Oubre Jr.,4,,SF/PF,6600,PHO,@MEM,2,112,24,15,99,106,-4%,15,14,14,33,31,31,34.0,34.0,26.3,41.7,33.0,32.8,5.0,28.4,24.5,3.7
Ricky Rubio,5,,PG,6500,PHO,@MEM,2,112,24,14,99,106,-4%,9,9,9,31,32,32,35.6,35.6,30.6,40.5,31.5,32.9,5.1,35.3,31.8,4.9
Jonas Valanciunas,9,,C,6500,MEM,PHO,3,109,25,24,103,112,12%,11,10,10,21,19,19,28.8,28.8,15.4,42.1,24.5,33.6,5.2,24.2,23.8,3.7
Cody Zeller,12,,C,6400,CHA,@GSW,2,114,16,17,103,107,-2%,12,12,12,31,31,31,39.0,39.0,30.0,48.0,31.0,34.6,5.4,19.6,19.5,3.0
Fred VanVleet,3,,PG/SG,6300,TOR,@MIL,2,110,19,14,105,103,-4%,12,13,13,35,37,37,36.2,36.2,24.6,47.8,35.0,32.2,5.1,41.3,30.5,4.8
Rui Hachimura,4,,PF,6200,WAS,MIN,2,116,,,103,110,1%,15,16,16,37,33,33,30.4,30.4,28.1,32.7,34.5,32.1,5.2,22.5,6.0,1.0
Caris LeVert,6,,SG/SF,6100,BKN,@DET,0,113,25,15,100,107,-3%,17,16,16,33,33,33,32.0,32.0,24.4,39.7,32.5,32.0,5.2,27.6,22.5,3.7
Aaron Gordon,2,,SF/PF,6000,ORL,DEN,0,99,22,15,100,107,0%,12,9,9,28,29,29,25.1,25.1,17.6,32.5,29.5,27.5,4.6,32.3,37.3,6.2
Derrick Rose,2,O,PG/SG,5900,DET,BKN,0,109,28,20,103,107,-4%,13,16,15,23,25,25,33.7,33.4,23.7,43.1,0.0,0.0,0.0,0,0.0,0.0
Jeff Teague,9,,PG,5900,MIN,@WAS,2,113,22,15,104,111,5%,11,8,8,28,28,28,25.3,25.3,17.4,33.2,30.0,31.1,5.3,27.6,46.0,7.8
Eric Bledsoe,3,,PG,5900,MIL,TOR,0,117,24,19,103,104,-1%,12,12,12,27,26,26,25.6,25.6,16.7,34.4,28.0,30.9,5.2,24.5,34.8,5.9
Devonte' Graham,6,,PG/SG,5800,CHA,@GSW,2,114,18,10,103,107,-3%,9,11,11,31,29,29,32.9,32.9,24.7,41.0,30.0,29.0,5.0,30.7,18.0,3.1
Serge Ibaka,3,,PF/C,5700,TOR,@MIL,2,110,22,19,105,103,-2%,13,10,10,27,25,25,26.9,26.9,20.4,33.4,24.5,26.8,4.7,22.4,25.0,4.4
Jonathan Isaac,2,,SF/PF,5600,ORL,DEN,0,99,16,13,100,107,0%,9,8,8,30,29,29,28.9,28.9,19.3,38.4,31.0,28.4,5.1,35.7,25.8,4.6
Miles Bridges,4,,SF/PF,5600,CHA,@GSW,2,114,15,13,103,107,0%,11,11,11,35,33,33,26.1,26.1,20.8,31.4,34.5,29.3,5.2,29.5,13.0,2.3
Spencer Dinwiddie,3,,PG/SG,5500,BKN,@DET,0,113,26,16,100,107,-3%,12,12,12,23,24,24,26.6,26.6,16.1,37.0,25.0,26.5,4.8,25.4,27.3,5.0
Robert Covington,4,,SF/PF,5400,MIN,@WAS,2,113,16,13,104,111,4%,9,10,10,27,26,26,23.1,23.1,16.2,30.0,29.5,29.5,5.5,19.7,32.0,5.9
Brook Lopez,1,,C,5300,MIL,TOR,0,117,16,15,103,104,-5%,8,8,8,26,28,28,22.4,22.4,11.1,33.6,27.5,25.6,4.8,26.3,20.8,3.9
Jae Crowder,2,,SF/PF,5200,MEM,PHO,3,109,19,12,103,112,1%,7,10,10,32,32,32,24.8,24.8,18.4,31.1,30.5,24.9,4.8,26.7,11.0,2.1
