Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Anthony Davis,12,,PF/C,10300,LAL,MEM,1,115,29,30,99,106,-4%,18,19,19,32,34,34,51.9,51.9,44.7,59.1,33.5,54.5,5.3,30.6,73.5,7.1
Nikola Jokic,9,,C,10000,DEN,DAL,0,110,29,26,101,108,-4%,17,16,16,35,31,31,46.7,46.7,29.1,64.2,32.0,49.2,4.9,32.9,46.0,4.6
LeBron James,15,,PG/SF,9700,LAL,MEM,1,115,33,26,99,106,-4%,18,18,18,33,34,34,50.0,50.0,41.7,58.3,33.0,53.0,5.5,28.3,37.5,3.9
Luka Doncic,12,,PG/SG,9500,DAL,@DEN,1,104,31,20,100,107,-8%,21,20,20,38,36,36,59.3,59.3,53.4,65.1,35.0,49.7,5.2,32.5,27.0,2.8
Trae Young,10,,PG,9000,ATL,@MIA,0,108,30,17,101,105,-6%,23,22,22,35,36,36,56.2,56.2,42.9,69.4,35.0,46.3,5.1,11.1,12.0,1.3
Kristaps Porzingis,9,,PF/C,8200,DAL,@DEN,1,104,,,100,107,0%,20,19,19,32,31,31,44.8,44.8,33.8,55.7,31.5,38.2,4.7,33,37.0,4.5
Jimmy Butler,9,,SG/SF,7700,MIA,ATL,1,116,23,20,106,111,11%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33.5,40.2,5.2,30.7,34.8,4.5
John Collins,11,,PF/C,7300,ATL,@MIA,0,108,23,22,101,105,4%,9,11,11,31,31,31,34.5,34.5,29.7,39.3,32.5,39.0,5.3,35.5,50.8,7.0
Ja Morant,9,,PG,7100,MEM,@LAL,1,104,,,106,107,1%,16,14,14,30,29,29,33.9,33.9,20.0,47.8,29.0,32.7,4.6,25.3,25.3,3.6
Bam Adebayo,16,,PF/C,7000,MIA,ATL,1,116,16,18,106,111,3%,10,9,9,35,31,31,40.9,40.9,32.9,48.9,31.0,38.1,5.4,32.7,44.5,6.4
Justise Winslow,10,,PG/SF,6900,MIA,ATL,1,116,22,13,106,111,9%,17,18,18,42,40,40,44.0,44.0,38.8,49.3,34.5,36.0,5.2,30.2,16.0,2.3
Jamal Murray,10,,PG/SG,6600,DEN,DAL,0,110,26,16,101,108,4%,17,16,16,36,35,35,35.0,35.0,27.3,42.7,33.0,34.7,5.3,33.5,25.0,3.8
Jaren Jackson Jr.,5,,PF/C,6400,MEM,@LAL,1,104,22,16,106,107,-3%,13,12,12,28,29,29,31.7,31.7,21.2,42.1,30.5,30.1,4.7,18.1,18.0,2.8
Jonas Valanciunas,1,,C,6300,MEM,@LAL,1,104,25,24,106,107,8%,11,9,9,19,18,18,27.9,27.9,11.6,44.2,20.0,25.8,4.1,22.8,31.3,5.0
Kyle Kuzma,,O,SF/PF,6200,LAL,MEM,1,115,23,14,99,106,-4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kendrick Nunn,9,,PG/SG,6000,MIA,ATL,1,116,,,106,111,11%,17,17,17,34,32,32,36.5,36.5,35.2,37.8,28.5,26.7,4.5,29.7,23.5,3.9
Goran Dragic,7,,PG,5700,MIA,ATL,1,116,25,14,106,111,11%,14,12,12,31,29,29,34.7,34.7,23.8,45.5,26.5,27.2,4.8,29.7,30.3,5.3
Dwight Powell,0,,C,5500,DAL,@DEN,1,104,17,20,100,107,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20.5,18.7,3.4,13.6,8.5,1.5
Paul Millsap,4,,PF/C,5400,DEN,DAL,0,110,20,18,101,108,-1%,8,8,8,23,26,26,20.3,20.3,11.0,29.7,25.5,24.2,4.5,31.3,35.0,6.5
Dion Waiters,,O,SG/SF,5300,MIA,ATL,1,116,22,11,106,111,11%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jae Crowder,8,,SF/PF,5200,MEM,@LAL,1,104,19,12,106,107,-3%,10,10,10,34,33,33,27.8,27.8,25.1,30.4,30.5,24.3,4.7,27,15.8,3.0
Brandon Clarke,3,,PF/C,5100,MEM,@LAL,1,104,,,106,107,-3%,11,9,9,26,25,25,25.3,25.3,20.8,29.8,24.5,24.1,4.7,18.5,14.8,2.9
Delon Wright,0,,PG/SG,5000,DAL,@DEN,1,104,18,16,100,107,-8%,8,6,6,27,26,26,26.1,26.1,11.2,41.0,25.0,22.0,4.4,24.1,26.8,5.4
Dwight Howard,4,,C,5000,LAL,MEM,1,115,,,99,106,-7%,6,5,5,21,20,20,24.6,24.6,11.7,37.5,21.5,23.3,4.7,18.8,16.8,3.4
Tyler Herro,1,,SG,4900,MIA,ATL,1,116,,,106,111,11%,13,13,13,34,34,34,23.2,23.2,17.7,28.7,26.5,23.6,4.8,29.1,41.3,8.4
Gary Harris,7,,SG,4800,DEN,DAL,0,110,20,12,101,108,1%,9,10,10,32,33,33,20.4,20.4,13.2,27.6,31.5,24.4,5.1,34,31.3,6.5
De'Andre Hunter,4,,SF/PF,4700,ATL,@MIA,0,108,,,101,105,-6%,7,7,7,26,26,26,19.2,19.2,11.6,26.8,29.5,22.1,4.7,27.9,13.8,2.9
Will Barton,9,,SG/SF,4600,DEN,DAL,0,110,21,11,101,108,1%,10,9,9,25,27,27,26.6,26.6,16.1,37.1,27.5,23.8,5.2,36.8,37.8,8.2
Jalen Brunson,0,,PG/SG,4500,DAL,@DEN,1,104,20,13,100,107,-8%,9,9,9,28,27,27,19.7,19.7,10.6,28.7,25.5,19.9,4.4,15.5,28.0,6.2
Danny Green,6,,SG/SF,4400,LAL,MEM,1,115,14,13,99,106,1%,9,11,11,27,29,29,27.9,27.9,11.2,44.6,29.5,23.0,5.2,19.4,12.0,2.7
Alex Len,5,,C,4300,ATL,@MIA,0,108,22,17,101,105,-10%,6,5,5,19,21,21,14.9,14.9,11.2,18.7,21.0,21.4,5.0,18,19.0,4.4
Rajon Rondo,,O,PG,4300,LAL,MEM,1,115,20,12,99,106,-4%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jabari Parker,4,,SF/PF,4200,ATL,@MIA,0,108,24,16,101,105,4%,7,8,8,20,21,21,16.1,16.1,11.5,20.6,21.5,21.0,5.0,22.8,20.5,4.9
Jerami Grant,0,,PF/C,4200,DEN,DAL,0,110,15,14,101,108,-1%,10,8,8,28,25,25,16.5,16.5,13.8,19.2,26.0,19.1,4.5,16.8,6.8,1.6
Dillon Brooks,7,,SG/SF,4100,MEM,@LAL,1,104,,,106,107,3%,14,11,11,34,29,29,21.7,21.7,14.4,28.9,29.5,20.4,5.0,22.6,20.3,5.0
Tyus Jones,1,,PG,4100,MEM,@LAL,1,104,16,14,106,107,1%,8,9,9,20,21,21,19.0,19.0,9.4,28.6,20.0,16.3,4.0,16.3,7.0,1.7
Kelly Olynyk,1,,PF/C,4000,MIA,ATL,1,116,18,14,106,111,3%,8,6,6,20,21,21,19.0,19.0,6.9,31.1,20.0,18.7,4.7,18.1,4.3,1.1
Derrick Jones Jr.,,O,SF/PF,3900,MIA,ATL,1,116,15,14,106,111,9%,5,5,5,16,16,16,11.9,11.9,1.8,22.0,0.0,0.0,0.0,0,0.0,0.0
JaVale McGee,0,,C,3800,LAL,MEM,1,115,19,22,99,106,-7%,5,4,4,14,15,15,10.7,10.7,3.1,18.2,15.5,17.0,4.5,29.3,23.8,6.3
Kyle Anderson,0,,SF/PF,3700,MEM,@LAL,1,104,13,13,106,107,3%,6,5,5,22,22,22,23.4,23.4,16.6,30.3,21.5,17.7,4.8,16.9,8.3,2.2
Maxi Kleber,0,,PF/C,3700,DAL,@DEN,1,104,13,13,100,107,0%,8,6,6,29,27,27,22.8,22.8,16.5,29.2,19.5,14.6,3.9,30.3,32.3,8.7
Kevin Huerter,1,,SG/SF,3600,ATL,@MIA,0,108,16,10,101,105,-4%,6,5,5,20,18,18,16.3,16.3,11.3,21.4,21.0,17.0,4.7,19.2,17.3,4.8
DeAndre' Bembry,5,,SG/SF,3500,ATL,@MIA,0,108,18,11,101,105,0%,8,7,7,23,23,23,18.3,18.3,15.3,21.2,23.0,19.0,5.4,27.1,20.3,5.8
