Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,,O,PF,11400,MIL,SAC,1,120,38,32,100,109,-9%,21,21,20,34,33,32,67.9,61.0,50.1,71.8,0.0,0.0,0.0,0,0.0,0.0
Luka Doncic,,O,PG,11100,DAL,UTA,1,108,39,29,101,106,-2%,20,23,21,29,33,34,50.1,58.5,44.3,72.7,0.0,0.0,0.0,0,0.0,0.0
LeBron James,1,,PG/SF,10900,LAL,PHO,1,121,34,26,104,108,0%,18,19,20,35,35,35,53.7,55.3,45.0,65.5,34.5,56.0,5.1,30.1,40.0,3.7
Karl-Anthony Towns,0,,C,10500,MIN,@TOR,1,113,29,27,103,102,-10%,14,17,18,36,37,34,49.3,52.8,41.5,64.0,35.5,52.8,5.0,36.8,50.5,4.8
Anthony Davis,8,P,PF/C,10300,LAL,PHO,1,121,29,28,104,108,-2%,18,16,18,38,35,35,53.0,51.6,39.2,64.0,35.0,53.9,5.2,31,49.0,4.8
Nikola Jokic,7,,C,10200,DEN,SAS,1,112,29,25,102,111,1%,22,20,16,37,36,33,64.5,48.5,35.0,62.0,34.0,56.3,5.5,37.6,49.5,4.9
Trae Young,3,,PG,10100,ATL,@ORL,0,107,36,24,100,105,-2%,27,22,22,42,37,36,56.9,53.3,38.5,68.1,36.0,51.1,5.1,33.6,43.3,4.3
Domantas Sabonis,2,,PF/C,9600,IND,BKN,1,113,24,21,104,106,8%,13,13,14,37,36,35,44.0,44.1,35.0,53.1,35.5,44.5,4.6,37.8,58.5,6.1
Deandre Ayton,1,O,C,9300,PHO,@LAL,1,109,23,21,103,104,-10%,15,19,16,33,34,34,49.6,42.7,32.0,53.4,0.0,0.0,0.0,0,0.0,0.0
Kyrie Irving,,O,PG,9000,BKN,@IND,1,106,33,26,101,106,-3%,18,20,21,30,33,34,46.4,48.4,33.4,63.4,0.0,0.0,0.0,0,0.0,0.0
Nikola Vucevic,8,,C,8900,ORL,ATL,1,116,26,21,106,111,4%,17,16,17,34,34,33,41.8,42.7,33.7,51.7,33.0,48.4,5.4,33.2,52.8,5.9
D'Angelo Russell,2,,PG,8700,MIN,@TOR,1,113,33,19,103,102,-1%,17,19,20,31,33,32,42.6,41.3,28.7,53.9,31.5,40.6,4.7,31.6,30.5,3.5
John Collins,2,,PF/C,8500,ATL,@ORL,0,107,22,22,100,105,0%,19,18,15,44,40,32,49.2,40.8,30.4,51.3,34.5,41.2,4.8,33.2,37.0,4.4
Kristaps Porzingis,5,,PF/C,8400,DAL,UTA,1,108,26,18,101,106,-6%,15,15,15,25,29,31,43.9,37.8,25.3,50.3,32.5,43.7,5.2,35.3,42.8,5.1
Bam Adebayo,7,,C,8200,MIA,@GSW,0,112,21,21,103,110,2%,15,14,11,36,37,36,44.9,42.1,32.3,51.9,35.5,43.4,5.3,26.8,42.3,5.2
Pascal Siakam,11,,PF/C,8100,TOR,MIN,1,122,29,19,105,109,-1%,21,18,20,34,34,35,37.7,42.6,32.4,52.9,35.5,45.9,5.7,36.5,56.5,7.0
Devin Booker,6,,PG/SG,8000,PHO,@LAL,1,109,30,21,103,104,2%,17,16,18,33,35,36,39.9,42.9,30.8,55.0,37.0,44.7,5.6,31.5,21.0,2.6
Stephen Curry,,O,PG,8000,GSW,MIA,1,107,,,100,107,-11%,14,17,17,26,28,28,39.4,39.4,27.7,51.0,0.0,0.0,0.0,0,0.0,0.0
