Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Anthony Davis,27,,PF/C,10000,LAL,@CHI,1,112,33,30,104,107,17%,24,20,20,39,35,35,55.7,54.9,44.7,65.2,35.0,54.4,5.4,31.4,35.3,3.5
LeBron James,25,,PG/SF,9600,LAL,@CHI,1,112,35,29,104,107,-2%,23,19,19,40,35,35,59.8,57.0,37.3,76.8,35.5,53.6,5.6,35.2,69.5,7.2
Nikola Jokic,9,,C,9400,DEN,MIA,2,108,26,22,109,96,-18%,10,12,13,29,32,31,42.4,42.0,28.9,55.2,31.5,45.1,4.8,22.8,25.3,2.7
Trae Young,10,,PG,9200,ATL,SAS,4,109,38,29,106,103,3%,13,18,18,23,30,30,45.1,45.1,20.5,69.7,30.0,43.5,4.7,29.7,57.5,6.3
Kevin Love,15,,PF/C,8800,CLE,BOS,1,105,23,23,104,100,21%,17,13,12,35,34,34,49.6,48.1,41.1,55.1,34.0,46.6,5.3,32.2,38.3,4.4
Kemba Walker,20,,PG,8500,BOS,@CLE,3,111,30,24,103,108,7%,19,19,19,37,35,35,41.5,41.5,26.9,56.2,35.0,44.7,5.3,33.6,46.5,5.5
Nikola Vucevic,7,,C,8400,ORL,@OKC,2,99,26,20,105,96,6%,14,15,16,29,30,31,35.0,35.7,27.1,44.3,31.5,40.4,4.8,33.6,31.8,3.8
Domantas Sabonis,4,O,PF/C,8300,IND,@CHA,1,108,23,22,103,108,19%,17,16,16,37,36,36,41.9,41.9,31.8,51.9,0.0,0.0,0.0,0,0.0,0.0
Malcolm Brogdon,20,,PG/SG,8200,IND,@CHA,1,108,30,28,103,108,3%,16,17,16,32,33,34,48.1,47.8,40.2,55.3,33.5,44.5,5.4,38.9,47.8,5.8
Jimmy Butler,13,,SG/SF,8100,MIA,@DEN,1,103,25,24,100,103,3%,13,12,12,31,31,31,44.8,44.8,36.0,53.5,33.5,37.4,4.6,29.3,33.3,4.1
John Collins,3,O,PF/C,8000,ATL,SAS,4,109,20,22,106,103,3%,14,12,12,34,32,32,36.9,36.9,28.2,45.6,0.0,0.0,0.0,0,0.0,0.0
Jayson Tatum,17,,SF/PF,7700,BOS,@CLE,3,111,27,18,103,108,17%,20,20,20,36,36,36,40.4,40.4,34.4,46.4,34.5,39.7,5.2,34.4,32.3,4.2
DeMar DeRozan,7,,SG/SF,7500,SAS,@ATL,1,114,28,17,103,101,6%,11,17,16,32,34,33,35.8,33.8,27.4,40.3,33.5,37.6,5.0,36.4,41.5,5.5
Bam Adebayo,6,,C,7400,MIA,@DEN,1,103,19,21,100,103,-2%,5,7,7,31,33,31,39.3,38.3,29.9,46.6,32.5,35.3,4.8,24.9,27.8,3.8
