Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,13,,PG/SG,11700,HOU,PHO,1,126,39,31,105,108,4%,25,24,25,45,39,38,65.6,64.0,51.8,76.3,37.5,67.1,5.7,39.1,57.0,4.9
Joel Embiid,1,O,C,10000,PHI,CLE,1,113,32,25,102,111,3%,13,16,16,33,33,30,53.9,47.4,34.4,60.4,0.0,0.0,0.0,0,0.0,0.0
Russell Westbrook,7,,PG,9400,HOU,PHO,1,126,34,16,105,108,4%,29,22,20,42,37,34,47.6,46.2,33.2,59.2,35.0,49.8,5.3,37.3,71.0,7.6
Devin Booker,8,,PG/SG,8600,PHO,@HOU,1,115,29,20,107,106,8%,20,18,17,36,37,36,43.8,40.3,27.3,53.3,36.5,43.4,5.0,37.2,50.0,5.8
Ben Simmons,11,,PG/SF,8200,PHI,CLE,1,113,22,18,102,111,8%,11,11,11,35,36,36,42.3,41.1,34.4,47.8,36.0,48.8,6.0,25.6,56.3,6.9
Clint Capela,3,,C,7800,HOU,PHO,1,126,16,22,105,108,2%,9,11,10,39,38,33,45.9,40.8,27.3,54.3,35.0,47.3,6.1,27.3,28.5,3.7
Jonas Valanciunas,6,,C,7700,MEM,@UTA,2,103,23,21,103,103,3%,17,13,11,30,29,25,44.5,32.6,18.9,46.3,29.0,37.8,4.9,20.8,21.0,2.7
Donovan Mitchell,8,,PG/SG,7600,UTA,MEM,2,115,31,20,106,109,5%,22,21,21,35,34,35,33.4,40.2,31.3,49.1,35.5,44.5,5.9,33,29.0,3.8
Domantas Sabonis,8,,PF/C,7500,IND,@NYK,0,107,24,21,100,111,-1%,15,13,14,35,35,34,41.0,42.8,35.7,49.8,34.5,44.8,6.0,38.4,45.8,6.1
Tobias Harris,9,,SF/PF,7400,PHI,CLE,1,113,24,17,102,111,9%,26,20,16,38,36,35,36.6,36.1,27.9,44.3,35.0,40.5,5.5,22.3,24.0,3.2
Rudy Gobert,10,,C,7300,UTA,MEM,2,115,16,20,106,109,2%,12,10,8,32,32,35,37.3,39.1,29.3,48.9,34.5,41.8,5.7,30.7,41.3,5.7
Malcolm Brogdon,,O,PG/SG,7200,IND,@NYK,0,107,28,22,100,111,2%,14,14,15,32,35,33,36.5,40.4,32.0,48.8,0.0,0.0,0.0,0,0.0,0.0
Ja Morant,,O,PG,7100,MEM,@UTA,2,103,31,19,103,103,-3%,15,16,16,32,32,29,40.4,35.4,24.1,46.7,0.0,0.0,0.0,0,0.0,0.0
Kevin Love,,P,PF/C,6900,CLE,@PHI,0,103,23,19,102,102,-10%,10,10,12,28,28,32,27.6,38.0,25.6,50.5,29.5,31.7,4.6,20.1,15.3,2.2
Ricky Rubio,5,,PG,6800,PHO,@HOU,1,115,22,17,107,106,-7%,12,11,12,33,32,32,35.7,36.9,27.3,46.5,33.0,34.2,5.0,35.8,38.5,5.7
Al Horford,9,,PF/C,6700,PHI,CLE,1,113,20,19,102,111,2%,10,9,12,32,32,32,32.4,33.6,25.1,42.2,33.0,41.6,6.2,20.8,27.8,4.1
Kelly Oubre Jr.,3,,SF/PF,6500,PHO,@HOU,1,115,22,16,107,106,12%,15,14,14,35,33,32,33.0,31.8,19.5,44.1,34.0,34.8,5.4,40.8,26.3,4.0
Bojan Bogdanovic,6,,SG/SF,6300,UTA,MEM,2,115,25,17,106,109,11%,13,15,15,34,34,34,31.8,32.0,21.7,42.4,34.5,35.5,5.6,31.2,28.5,4.5
Jaren Jackson Jr.,0,,PF/C,6200,MEM,@UTA,2,103,24,15,103,103,0%,20,16,13,30,28,27,30.4,27.3,16.1,38.5,29.0,29.9,4.8,32.7,37.5,6.0
Tristan Thompson,1,,C,6100,CLE,@PHI,0,103,20,20,102,102,-14%,10,9,12,31,31,32,32.9,35.9,26.9,45.0,30.5,29.6,4.9,22.3,20.8,3.4
