Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,7,,SF/PF,11700,MIL,@NYK,1,120,38,35,100,111,7%,25,23,21,33,30,32,62.0,61.9,50.4,73.4,30.5,61.2,5.2,26,58.8,5.0
James Harden,10,,PG/SG,11600,HOU,@PHO,1,122,39,31,105,107,3%,23,29,25,36,38,38,66.3,63.8,51.1,76.4,37.0,63.2,5.4,34,69.5,6.0
Trae Young,1,,PG,10600,ATL,@BKN,1,112,35,23,105,105,11%,29,25,22,41,38,36,49.6,50.1,37.3,63.0,37.0,54.3,5.1,40.4,67.0,6.3
Karl-Anthony Towns,2,O,C,10600,MIN,@POR,0,111,29,29,105,108,8%,19,17,18,36,36,34,52.4,55.0,43.9,66.1,0.0,0.0,0.0,0,0.0,0.0
Andre Drummond,8,,C,10300,DET,CHI,0,104,24,23,103,104,13%,14,14,14,34,34,34,47.5,49.3,36.6,62.0,35.0,60.1,5.8,37.1,54.0,5.2
Joel Embiid,6,,C,10200,PHI,WAS,0,120,31,25,106,114,9%,22,20,16,34,33,31,57.5,49.5,36.7,62.3,31.5,54.5,5.3,29.6,45.8,4.5
Kyrie Irving,,O,PG,9800,BKN,ATL,1,120,35,26,105,112,-1%,25,24,24,36,36,35,49.5,52.3,40.6,64.0,0.0,0.0,0.0,0,0.0,0.0
Paul George,1,,SF,9500,LAC,@SAS,1,116,32,23,103,109,3%,20,21,18,32,33,31,46.5,42.0,28.7,55.4,34.0,45.1,4.7,25.8,22.3,2.3
Russell Westbrook,9,,PG,9400,HOU,@PHO,1,122,33,18,105,107,3%,28,22,20,40,38,35,50.8,48.1,35.4,60.9,37.5,53.1,5.6,32.6,56.0,6.0
Rudy Gobert,0,,C,8900,UTA,@CHA,1,108,16,21,100,110,8%,10,10,9,37,36,35,44.6,40.7,31.7,49.6,35.5,45.6,5.1,36.8,50.8,5.7
Damian Lillard,10,,PG,8900,POR,MIN,0,117,29,24,106,110,7%,21,20,19,37,37,37,45.2,47.2,36.8,57.5,37.0,48.8,5.5,38,47.3,5.3
Donovan Mitchell,2,,PG/SG,8600,UTA,@CHA,1,108,31,20,100,110,-4%,23,22,21,36,36,35,42.0,40.1,31.9,48.4,35.5,40.5,4.7,35.2,41.5,4.8
Bradley Beal,4,,SG,8600,WAS,@PHI,0,108,32,20,102,102,-8%,22,22,22,40,38,37,50.4,47.7,36.0,59.4,37.0,46.2,5.4,38.3,60.0,7.0
Spencer Dinwiddie,0,,PG/SG,8500,BKN,ATL,1,120,32,20,105,112,-1%,28,22,18,36,34,31,42.8,38.9,29.0,48.7,33.5,44.6,5.2,33.9,57.0,6.7
Kawhi Leonard,10,,SF/PF,8500,LAC,@SAS,1,116,34,25,103,109,3%,17,18,20,32,33,32,46.6,47.3,38.0,56.6,32.5,46.6,5.5,27.1,55.8,6.6
Hassan Whiteside,9,,C,8400,POR,MIN,0,117,20,26,106,110,-2%,12,12,11,33,32,29,47.3,40.0,30.0,50.1,31.5,46.0,5.5,38,63.0,7.5
Devin Booker,8,,PG/SG,8300,PHO,HOU,0,113,28,20,107,107,12%,14,18,17,34,37,36,46.1,40.2,27.9,52.6,34.5,40.5,4.9,33.5,37.5,4.5
Ben Simmons,5,,PG/SF,8200,PHI,WAS,0,120,22,19,106,114,8%,12,11,11,39,36,36,38.0,40.7,32.6,48.8,35.5,43.3,5.3,32.9,47.0,5.7
Jusuf Nurkic,,O,C,8100,POR,MIN,0,117,,,106,110,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Devonte' Graham,,,PG,8000,CHA,UTA,2,101,28,18,103,103,0%,16,17,16,38,38,34,38.3,38.1,27.7,48.6,36.5,38.4,4.8,38.1,32.3,4.0
Clint Capela,8,,C,8000,HOU,@PHO,1,122,15,21,105,107,3%,9,9,10,39,36,34,39.6,40.8,29.6,52.0,36.0,44.3,5.5,35.7,42.8,5.3
Zach LaVine,2,,PG/SG,7900,CHI,@DET,2,106,30,18,102,108,9%,24,21,18,39,37,33,42.2,37.6,25.5,49.8,34.5,39.2,5.0,36.8,48.8,6.2
Andrew Wiggins,3,,SG/SF,7800,MIN,@POR,0,111,29,19,105,108,6%,21,20,21,40,39,36,39.6,39.8,30.5,49.1,35.5,40.2,5.2,34.9,47.5,6.1
Ja Morant,1,,PG,7700,MEM,SAC,0,110,30,20,99,107,-7%,14,12,15,31,31,30,33.6,35.3,25.4,45.2,31.0,36.5,4.7,30.1,21.8,2.8
Deandre Ayton,,O,C,7600,PHO,HOU,0,113,,,107,107,-2%,17,17,17,29,29,29,41.6,41.6,39.3,43.9,0.0,0.0,0.0,0,0.0,0.0
John Collins,,O,PF/C,7500,ATL,@BKN,1,112,,,105,105,-1%,14,12,12,34,32,32,36.9,36.9,28.2,45.6,0.0,0.0,0.0,0,0.0,0.0
Tobias Harris,4,,SF/PF,7500,PHI,WAS,0,120,24,17,106,114,12%,14,17,16,36,35,35,32.4,35.8,26.6,45.0,34.0,37.9,5.1,30.6,35.0,4.7
LaMarcus Aldridge,5,,PF/C,7400,SAS,LAC,1,109,23,20,106,103,-4%,16,17,16,35,36,34,42.0,38.1,28.6,47.5,33.0,37.9,5.1,24,23.5,3.2
Terry Rozier,0,,PG/SG,7300,CHA,UTA,2,101,25,14,103,103,0%,22,17,15,35,33,34,30.6,32.4,21.6,43.1,35.0,33.8,4.6,36.2,42.5,5.8
CJ McCollum,9,,PG/SG,7300,POR,MIN,0,117,26,17,106,110,6%,20,17,19,38,37,37,37.7,37.5,25.1,49.9,37.5,40.3,5.5,36.7,42.0,5.8
Ricky Rubio,,O,PG,7200,PHO,HOU,0,113,24,16,107,107,-5%,12,14,13,27,32,33,40.3,38.1,28.2,47.9,0.0,0.0,0.0,0,0.0,0.0
Buddy Hield,3,,SG/SF,7100,SAC,@MEM,0,112,28,17,106,109,9%,14,17,19,29,33,35,37.2,36.2,25.9,46.4,32.5,37.2,5.2,38.7,18.0,2.5
Davis Bertans,1,,SF/PF,7000,WAS,@PHI,0,108,17,18,102,102,-3%,15,14,11,37,33,30,34.0,28.3,18.3,38.3,35.0,32.2,4.6,37.4,25.8,3.7
DeMar DeRozan,3,,SG/SF,6900,SAS,LAC,1,109,27,18,106,103,-3%,14,15,16,32,35,35,31.9,36.5,29.4,43.6,32.0,34.6,5.0,24.8,31.3,4.5
Bojan Bogdanovic,,,SF/PF,6800,UTA,@CHA,1,108,25,16,100,110,3%,19,17,16,37,36,34,32.6,32.0,21.8,42.2,35.5,34.8,5.1,36.4,34.3,5.0
Al Horford,4,,PF/C,6800,PHI,WAS,0,120,20,18,106,114,-2%,9,12,12,28,29,31,26.7,32.0,23.5,40.6,30.5,33.8,5.0,29.1,30.3,4.5
Julius Randle,4,,PF/C,6700,NYK,MIL,0,107,27,16,107,100,2%,13,16,14,23,30,32,37.8,34.3,25.5,43.1,29.5,33.3,5.0,31.6,33.5,5.0
Lou Williams,,,PG/SG,6700,LAC,@SAS,1,116,30,17,103,109,3%,13,15,16,28,28,31,26.9,34.1,23.9,44.3,26.5,29.3,4.4,23.8,31.5,4.7
De'Aaron Fox,2,,PG,6600,SAC,@MEM,0,112,31,17,106,109,6%,11,13,14,27,31,31,36.2,34.5,24.6,44.4,29.5,34.7,5.3,29.8,37.3,5.7
Blake Griffin,,O,PF/C,6600,DET,CHI,0,104,28,13,103,104,7%,15,14,14,31,32,30,27.3,29.5,21.4,37.6,0.0,0.0,0.0,0,0.0,0.0
