Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,10,,PG,12300,DAL,@POR,1,117,39,30,104,109,9%,25,20,21,35,33,34,55.8,59.8,45.8,73.9,34.5,62.9,5.1,34.7,51.5,4.2
LeBron James,13,,PG/SF,10400,LAL,@BKN,0,119,34,26,105,105,-14%,14,18,20,33,34,35,49.3,55.5,44.8,66.3,35.5,56.3,5.4,33.6,64.5,6.2
Damian Lillard,18,,PG,9900,POR,DAL,2,111,30,25,101,108,-7%,30,24,20,41,39,37,58.4,48.2,36.3,60.1,38.5,52.9,5.3,41.7,70.0,7.1
Anthony Davis,6,,PF/C,9500,LAL,@BKN,0,119,29,28,105,105,-3%,11,15,19,29,34,35,51.9,51.9,40.6,63.3,31.5,47.9,5.0,26.9,37.8,4.0
Hassan Whiteside,14,,C,8800,POR,DAL,2,111,19,25,101,108,0%,11,11,11,38,35,31,42.4,42.1,30.4,53.7,34.5,48.5,5.5,33.2,29.5,3.4
Kyrie Irving,12,,PG,8400,BKN,LAL,2,113,33,26,103,103,-1%,18,21,22,34,34,34,43.9,49.2,35.8,62.5,33.5,46.0,5.5,33.2,35.3,4.2
Kevin Love,10,,PF,8100,CLE,WAS,2,117,24,18,106,113,3%,17,16,13,32,34,32,38.5,37.7,26.4,49.1,32.5,43.0,5.3,33.9,35.8,4.4
Kristaps Porzingis,4,,PF/C,8000,DAL,@POR,1,117,25,16,104,109,1%,14,14,16,28,31,32,33.1,38.7,28.4,49.0,29.5,35.3,4.4,25.3,34.8,4.3
Bradley Beal,10,,SG/SF,7700,WAS,@CLE,0,114,33,21,101,113,11%,23,21,22,36,31,36,41.0,46.6,35.0,58.2,33.0,42.6,5.5,29.4,51.0,6.6
Tristan Thompson,10,,C,7300,CLE,WAS,2,117,18,17,106,113,8%,9,8,10,36,31,32,27.9,32.5,21.1,43.9,33.0,34.1,4.7,21.1,10.3,1.4
Spencer Dinwiddie,7,,PG/SG,7000,BKN,LAL,2,113,32,18,103,103,-1%,15,14,18,31,32,32,30.3,38.3,27.5,49.1,33.0,36.7,5.2,30.4,37.3,5.3
CJ McCollum,3,O,PG/SG,6700,POR,DAL,2,111,26,17,101,108,-6%,20,19,19,37,36,37,37.3,36.7,26.0,47.4,0.0,0.0,0.0,0,0.0,0.0
Collin Sexton,11,,PG/SG,6500,CLE,WAS,2,117,27,15,106,113,5%,19,19,16,34,34,32,33.7,28.5,21.6,35.3,34.5,34.7,5.3,36.9,44.0,6.8
Carmelo Anthony,6,,PF,6000,POR,DAL,2,111,22,14,101,108,-1%,14,13,14,38,36,33,30.0,29.4,19.4,39.5,35.0,32.5,5.4,37.4,42.3,7.0
Jarrett Allen,7,,C,5900,BKN,LAL,2,113,15,21,103,103,-10%,6,6,7,30,28,27,28.9,30.4,19.5,41.2,32.5,33.9,5.7,29.6,19.0,3.2
Darius Garland,10,,PG,5500,CLE,WAS,2,117,22,9,106,113,5%,17,15,12,37,32,30,25.4,21.3,13.4,29.3,35.0,29.6,5.4,38.1,20.8,3.8
Ian Mahinmi,3,,C,5200,WAS,@CLE,0,114,17,16,101,113,2%,9,8,6,29,28,23,31.1,23.3,13.4,33.1,23.0,22.1,4.3,28.1,16.3,3.1
Larry Nance Jr.,,,PF/C,5100,CLE,WAS,2,117,14,15,106,113,3%,6,5,6,26,23,24,20.0,21.8,12.9,30.6,22.5,21.0,4.1,28.3,44.0,8.6
Davis Bertans,4,,PF,5000,WAS,@CLE,0,114,18,16,101,113,5%,12,12,12,27,27,29,25.4,27.7,18.3,37.1,27.5,25.6,5.1,26.7,26.5,5.3
Rui Hachimura,,O,C,5000,WAS,@CLE,0,114,19,14,101,113,1%,7,12,12,23,31,29,24.4,25.2,14.7,35.6,0.0,0.0,0.0,0,0.0,0.0
Jordan McRae,7,,PG/SG,5000,WAS,@CLE,0,114,25,16,101,113,11%,11,11,12,30,23,24,21.8,25.2,12.3,38.1,25.0,26.3,5.3,17.8,7.0,1.4
Moritz Wagner,,O,C,5000,WAS,@CLE,0,114,21,19,101,113,1%,5,8,8,22,24,20,23.2,23.5,13.9,33.1,0.0,0.0,0.0,0,0.0,0.0
Taurean Prince,6,,PF,4900,BKN,LAL,2,113,20,10,103,103,-5%,12,10,12,27,28,31,23.5,27.1,17.9,36.3,29.5,25.0,5.1,29.2,33.8,6.9
Caris LeVert,,,PG/SF,4900,BKN,LAL,2,113,28,10,103,103,0%,15,13,14,27,25,28,21.8,26.0,17.5,34.5,26.0,24.7,5.0,22.9,28.0,5.7
Maxi Kleber,9,,PF/C,4900,DAL,@POR,1,117,14,14,104,109,1%,8,7,7,32,30,25,23.9,20.3,12.5,28.1,28.5,22.8,4.7,22.7,28.5,5.8
Jusuf Nurkic,,O,C,4800,POR,DAL,2,111,,,101,108,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Thomas Bryant,2,,C,4700,WAS,@CLE,0,114,19,18,101,113,2%,7,7,9,19,20,26,16.7,28.5,17.5,39.5,20.0,20.6,4.4,17.2,13.3,2.8
Ish Smith,4,,PG,4700,WAS,@CLE,0,114,20,14,101,113,6%,7,8,10,27,27,27,21.9,24.1,13.6,34.7,25.5,24.4,5.2,25.5,34.0,7.2
Tim Hardaway Jr.,9,,SG/SF,4700,DAL,@POR,1,117,22,15,104,109,8%,14,13,12,31,29,27,28.4,23.4,12.8,33.9,30.0,25.9,5.5,29,19.3,4.1
Dwight Howard,14,,C,4700,LAL,@BKN,0,119,14,19,105,105,7%,5,6,4,23,24,20,30.9,21.8,12.5,31.0,26.5,33.9,7.2,22.7,37.5,8.0
Kyle Kuzma,4,P,SF/PF,4600,LAL,@BKN,0,119,23,12,105,105,-3%,11,12,12,26,28,25,23.4,21.6,12.0,31.3,27.0,23.7,5.2,28.4,20.5,4.5
Dorian Finney-Smith,1,,SF/PF,4600,DAL,@POR,1,117,13,12,104,109,8%,7,8,7,33,33,30,22.0,20.9,14.2,27.6,33.5,23.5,5.1,32,32.0,7.0
Troy Brown Jr.,2,,SF/PF,4500,WAS,@CLE,0,114,17,14,101,113,5%,7,7,9,23,24,26,19.9,23.6,12.7,34.6,24.0,21.3,4.7,25.5,23.0,5.1
JaVale McGee,1,O,C,4500,LAL,@BKN,0,119,15,22,105,105,7%,7,5,5,18,20,17,25.1,20.0,10.7,29.2,0.0,0.0,0.0,0,0.0,0.0
Anfernee Simons,3,,PG/SG,4500,POR,DAL,2,111,19,9,101,108,-6%,14,10,9,41,30,23,17.8,16.1,8.5,23.8,36.0,25.4,5.6,23.1,11.3,2.5
Cedi Osman,3,,SF/PF,4400,CLE,WAS,2,117,17,11,106,113,5%,9,10,9,30,28,29,21.6,20.8,12.7,29.0,27.5,21.9,5.0,30.1,25.0,5.7
Admiral Schofield,,O,SF/PF,4300,WAS,@CLE,0,114,12,7,101,113,6%,9,4,3,22,13,12,7.3,7.0,-1.9,15.9,0.0,0.0,0.0,0,0.0,0.0
Delon Wright,1,,PG/SG,4200,DAL,@POR,1,117,16,18,104,109,9%,3,6,6,14,17,21,16.4,20.6,11.6,29.5,16.5,15.5,3.7,28.3,24.5,5.8
Joe Harris,7,,SG/SF,4100,BKN,LAL,2,113,18,12,103,103,-5%,9,10,12,30,33,32,18.9,25.1,17.1,33.2,30.0,22.3,5.4,26,15.0,3.7
DeAndre Jordan,,O,C,4000,BKN,LAL,2,113,15,21,103,103,-10%,6,5,5,24,22,21,22.3,25.8,16.3,35.2,0.0,0.0,0.0,0,0.0,0.0
Danny Green,1,,SF,4000,LAL,@BKN,0,119,14,12,105,105,1%,7,9,7,22,23,25,20.9,19.2,9.8,28.5,24.0,18.9,4.7,19.2,23.3,5.8
Kevin Porter Jr.,,O,SF,4000,CLE,WAS,2,117,20,10,106,113,5%,7,10,7,22,25,22,19.4,17.1,9.7,24.6,0.0,0.0,0.0,0,0.0,0.0
Boban Marjanovic,5,,C,3900,DAL,@POR,1,117,,,104,109,3%,10,7,5,18,12,11,19.4,14.0,2.2,25.9,13.0,17.2,4.4,0,0.0,0.0
Kentavious Caldwell-Pope,2,,SG/SF,3800,LAL,@BKN,0,119,15,12,105,105,1%,9,10,8,24,27,26,24.1,18.4,11.6,25.2,25.5,18.5,4.9,28.2,15.5,4.1
Rajon Rondo,5,P,PG,3700,LAL,@BKN,0,119,22,14,105,105,12%,8,10,7,19,24,21,27.1,21.7,11.0,32.5,19.5,19.8,5.4,22.9,26.5,7.2
Dante Exum,,,PG/SG,3700,CLE,WAS,2,117,16,10,106,113,5%,2,3,3,20,19,13,7.5,8.5,0.7,16.3,20.0,15.5,4.2,14.6,9.0,2.4
Gary Payton II,1,,PG/SG,3600,WAS,@CLE,0,114,15,13,101,113,6%,6,5,6,17,17,21,14.0,19.0,7.6,30.3,15.0,13.3,3.7,5.8,3.8,1.1
Trevor Ariza,9,,SF/PF,3500,POR,DAL,2,111,12,10,101,108,1%,5,7,5,24,29,25,23.8,17.3,7.8,26.9,29.0,20.5,5.9,35.8,38.3,10.9
Isaac Bonga,2,,SF/PF,3500,WAS,@CLE,0,114,10,11,101,113,6%,3,3,3,21,22,18,16.6,12.3,5.3,19.3,19.0,12.5,3.6,22.5,20.8,5.9
Nicolas Claxton,,O,C,3500,BKN,LAL,2,113,,,103,103,-7%,10,4,4,18,14,14,14.9,12.0,3.7,20.3,0.0,0.0,0.0,0,0.0,0.0
Garrett Temple,,,SG,3400,BKN,LAL,2,113,17,10,103,103,0%,5,9,10,21,26,29,18.4,21.8,13.1,30.5,15.5,10.8,3.2,18.4,21.5,6.3
Isaiah Thomas,3,,PG,3400,WAS,@CLE,0,114,24,12,101,113,6%,7,6,11,21,21,24,14.3,21.2,12.1,30.4,21.5,18.3,5.4,22.1,24.8,7.3
Anzejs Pasecniks,,,C,3400,WAS,@CLE,0,114,17,13,101,113,2%,7,6,6,21,24,22,20.0,18.9,12.1,25.6,0.0,0.0,0.0,15.4,10.8,3.2
J.J. Barea,,,PG/SG,3400,DAL,@POR,1,117,,,104,109,9%,5,7,8,8,17,15,16.3,16.5,9.7,23.4,0.0,0.0,0.0,0,0.0,0.0
Wilson Chandler,1,,PF,3400,BKN,LAL,2,113,14,9,103,103,-5%,5,6,6,18,18,20,16.4,15.9,10.6,21.3,18.5,12.9,3.8,21.5,23.8,7.0
Avery Bradley,1,,SG,3400,LAL,@BKN,0,119,15,8,105,105,1%,7,7,7,21,20,23,10.3,13.7,6.7,20.8,23.0,13.8,4.1,20.1,5.0,1.5
Gary Trent Jr.,7,,SG/SF,3400,POR,DAL,2,111,15,10,101,108,-6%,16,9,5,39,27,15,20.4,9.9,0.4,19.4,31.0,20.4,6.0,31.2,27.0,7.9
Zach Collins,,O,PF/C,3300,POR,DAL,2,111,,,101,108,0%,5,6,6,28,29,29,17.8,17.8,14.9,20.8,0.0,0.0,0.0,0,0.0,0.0
Seth Curry,5,,SG,3300,DAL,@POR,1,117,19,14,104,109,-3%,10,9,8,24,22,23,18.4,17.5,7.1,28.0,25.0,18.5,5.6,25.5,25.3,7.7
Jalen Brunson,,,PG/SG,3300,DAL,@POR,1,117,22,15,104,109,9%,7,5,6,17,13,17,13.0,16.0,5.1,26.9,13.5,12.1,3.7,16.8,24.3,7.4
Timothe Luwawu-Cabarrot,,,SG/SF,3300,BKN,LAL,2,113,14,7,103,103,0%,5,3,4,17,15,18,11.0,10.8,3.5,18.1,0.0,0.0,0.0,4.4,1.3,0.4
Rodions Kurucs,,,SF/PF,3300,BKN,LAL,2,113,15,8,103,103,-7%,4,4,3,18,18,13,11.6,9.6,3.0,16.1,13.0,9.2,2.8,11.2,11.3,3.4
