Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,11,,PG/SF,10500,LAL,@PHO,1,113,34,28,106,101,-4%,17,20,19,36,37,35,64.2,56.5,39.1,73.9,35.5,53.5,5.1,37.1,45.8,4.4
Anthony Davis,14,P,PF/C,10000,LAL,@PHO,1,113,31,28,106,101,-6%,19,20,19,36,37,35,48.6,52.5,42.1,62.9,35.0,54.7,5.5,37.5,52.5,5.3
Damian Lillard,18,,PG,9500,POR,@SAC,1,112,31,31,102,110,9%,25,23,22,42,40,39,55.9,54.1,45.2,63.0,37.5,49.5,5.2,37.6,44.0,4.6
Joel Embiid,16,,C,9400,PHI,CLE,1,115,34,28,103,106,0%,14,15,15,27,29,28,47.4,46.8,34.4,59.2,32.0,55.5,5.9,35.1,61.0,6.5
Kyrie Irving,10,,PG,9300,BKN,@UTA,1,106,35,30,101,95,-19%,22,21,22,32,33,33,47.6,52.1,38.0,66.2,34.0,48.9,5.3,36.7,41.3,4.4
Trae Young,14,,PG,9200,ATL,@DEN,1,100,38,26,100,99,-12%,26,18,20,41,31,33,42.3,47.5,25.2,69.8,35.0,47.3,5.1,41.3,68.0,7.4
Andre Drummond,18,,C,8900,DET,@MIA,0,103,26,26,106,98,-14%,13,16,16,31,35,36,54.6,56.5,43.7,69.4,34.5,52.2,5.9,27.6,32.8,3.7
Domantas Sabonis,15,,PF/C,8400,IND,OKC,1,107,24,22,103,102,2%,16,15,15,38,36,36,49.8,45.3,36.0,54.5,36.5,46.6,5.5,29.2,43.5,5.2
Nikola Jokic,15,,C,8300,DEN,ATL,1,110,28,20,103,104,-3%,23,15,15,37,31,31,38.3,41.9,28.8,55.1,31.5,45.4,5.5,30.7,43.5,5.2
Kevin Love,5,,PF/C,8200,CLE,@PHI,1,104,23,22,106,102,-16%,9,13,12,30,33,33,40.9,43.7,34.7,52.7,32.5,40.5,4.9,31.5,31.5,3.8
Devin Booker,8,,PG/SG,8100,PHO,LAL,1,109,28,22,103,96,6%,14,16,17,34,34,34,40.0,39.4,29.7,49.1,33.5,41.7,5.1,39.2,37.8,4.7
De'Aaron Fox,,O,PG,8000,SAC,POR,3,110,31,16,106,106,10%,13,15,14,32,34,32,39.8,34.9,24.1,45.7,0.0,0.0,0.0,0,0.0,0.0
Donovan Mitchell,10,,PG/SG,7900,UTA,BKN,0,113,31,23,109,109,5%,20,20,19,36,35,34,42.6,40.8,31.6,50.0,35.0,41.0,5.2,37.7,41.5,5.3
Jimmy Butler,16,,SG/SF,7800,MIA,DET,3,112,26,25,103,108,-4%,16,14,13,36,33,32,43.5,42.0,34.4,49.7,37.0,44.6,5.7,39,48.8,6.3
Ricky Rubio,1,,PG,7700,PHO,LAL,1,109,22,18,103,96,-8%,14,12,11,29,32,32,39.5,38.6,31.0,46.2,33.0,36.5,4.7,38.8,43.5,5.6
Malcolm Brogdon,15,,PG/SG,7600,IND,OKC,1,107,30,24,103,102,2%,15,15,16,31,33,34,37.0,43.5,33.9,53.2,34.0,42.1,5.5,25.4,34.5,4.5
Rudy Gobert,12,,C,7500,UTA,BKN,0,113,14,15,109,109,12%,7,7,6,36,36,34,40.3,34.0,22.5,45.4,34.5,40.5,5.4,37.5,48.3,6.4
Ben Simmons,4,,PG/SF,7400,PHI,CLE,1,115,23,16,103,106,4%,5,10,11,23,31,32,31.6,35.6,21.9,49.3,32.5,39.8,5.4,35,36.3,4.9
Jabari Parker,5,,SF/PF,7300,ATL,@DEN,1,100,25,22,100,99,-14%,21,16,13,35,31,27,39.8,29.8,15.3,44.2,32.5,34.5,4.7,33.3,36.8,5.0
Julius Randle,15,,PF/C,7200,NYK,@CHI,1,103,26,13,105,105,10%,15,13,14,34,32,33,31.2,34.8,24.9,44.7,34.0,40.3,5.6,36.7,32.5,4.5
Blake Griffin,,O,PF,7200,DET,@MIA,0,103,,,106,98,13%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Zach LaVine,6,,PG/SG,7100,CHI,NYK,2,109,29,16,101,108,-6%,14,17,17,32,32,32,34.5,34.5,22.1,47.0,32.0,37.2,5.2,30.6,37.0,5.2
Shai Gilgeous-Alexander,3,,PG/SG,7000,OKC,@IND,1,106,25,19,102,103,9%,17,16,17,37,36,35,33.6,36.1,26.6,45.6,36.0,34.5,4.9,28.2,19.0,2.7
Hassan Whiteside,11,,C,6900,POR,@SAC,1,112,21,24,102,110,-8%,12,13,10,35,30,28,42.0,37.3,27.1,47.4,28.5,38.9,5.6,20.6,26.8,3.9
Bam Adebayo,11,,C,6800,MIA,DET,3,112,19,20,103,108,-5%,8,7,8,37,32,32,34.8,37.9,29.3,46.4,35.0,39.6,5.8,27.7,38.0,5.6
Tobias Harris,9,,SF/PF,6800,PHI,CLE,1,115,22,17,103,106,17%,12,14,14,31,34,35,38.0,37.8,31.1,44.4,34.5,35.8,5.3,32.6,19.8,2.9
Tristan Thompson,4,,C,6700,CLE,@PHI,1,104,20,24,106,102,-4%,11,11,13,33,33,34,37.5,40.1,30.6,49.6,33.0,34.3,5.1,32.6,35.0,5.2
Chris Paul,1,,PG,6700,OKC,@IND,1,106,24,19,102,103,-10%,11,12,11,31,31,30,35.8,31.8,22.5,41.0,31.0,32.0,4.8,25,29.8,4.4
Marvin Bagley III,,O,PF/C,6600,SAC,POR,3,110,,,106,106,-10%,16,16,16,28,28,28,31.5,31.5,31.5,31.5,0.0,0.0,0.0,0,0.0,0.0
Buddy Hield,15,,SG/SF,6600,SAC,POR,3,110,27,14,106,106,-3%,17,17,16,29,31,30,33.1,28.7,18.2,39.2,33.0,36.3,5.5,37,26.0,3.9
Al Horford,,O,PF/C,6500,PHI,CLE,1,115,22,19,103,106,-9%,11,16,14,29,30,31,37.1,36.0,25.5,46.6,0.0,0.0,0.0,0,0.0,0.0
CJ McCollum,5,,PG/SG,6500,POR,@SAC,1,112,26,11,102,110,4%,21,19,20,41,39,38,29.1,32.1,20.7,43.6,36.5,33.9,5.2,36.8,33.8,5.2
Bojan Bogdanovic,1,,SF/PF,6400,UTA,BKN,0,113,26,20,109,109,-19%,17,16,15,34,35,32,32.2,31.6,22.5,40.7,34.0,31.6,4.9,30.1,21.0,3.3
Lauri Markkanen,6,,PF/C,6400,CHI,NYK,2,109,22,15,101,108,2%,11,9,12,34,30,31,24.9,30.4,17.1,43.6,31.5,34.7,5.4,27.9,27.5,4.3
Danilo Gallinari,3,,SF/PF,6400,OKC,@IND,1,106,23,20,102,103,-28%,14,13,13,30,30,29,31.3,29.9,24.6,35.3,30.0,30.2,4.7,24.4,21.0,3.3
Jamal Murray,7,,PG/SG,6300,DEN,ATL,1,110,27,16,103,104,-14%,19,16,16,36,33,34,34.5,33.6,24.2,42.9,32.5,33.9,5.4,33.3,37.8,6.0
Marcus Morris,5,,SF/PF,6300,NYK,@CHI,1,103,,,105,105,10%,17,16,14,36,36,34,37.6,31.1,18.1,44.0,34.5,30.2,4.8,31.6,35.3,5.6
Mike Conley,9,,PG,6200,UTA,BKN,0,113,26,9,109,109,20%,13,13,13,32,33,30,28.4,25.5,13.0,38.0,32.0,33.4,5.4,30.1,29.5,4.8
Myles Turner,,O,C,6100,IND,OKC,1,107,17,18,103,102,2%,8,10,10,24,32,32,27.9,27.9,13.1,42.8,0.0,0.0,0.0,0,0.0,0.0
Will Barton,10,,SG/SF,6000,DEN,ATL,1,110,21,18,103,104,21%,14,14,12,37,34,32,36.9,33.4,24.5,42.3,33.5,32.9,5.5,36.1,42.3,7.0
Jeremy Lamb,,O,SG/SF,6000,IND,OKC,1,107,22,18,103,102,-8%,13,14,14,35,33,33,33.0,33.0,25.0,41.0,0.0,0.0,0.0,0,0.0,0.0
Aron Baynes,4,,C,6000,PHO,LAL,1,109,22,26,103,96,-22%,14,13,10,23,27,24,38.0,31.1,17.4,44.8,28.0,29.0,4.8,26.4,34.0,5.7
Kelly Oubre Jr.,2,,SF/PF,6000,PHO,LAL,1,109,22,18,103,96,6%,11,11,12,28,30,30,24.4,30.1,22.9,37.3,32.0,30.6,5.1,19.4,6.5,1.1
Luke Kennard,7,,SG,6000,DET,@MIA,0,103,22,17,106,98,-18%,19,16,13,41,37,33,37.6,31.0,21.7,40.2,34.0,32.1,5.4,38,36.3,6.0
RJ Barrett,10,,PG/SG,5900,NYK,@CHI,1,103,25,11,105,105,10%,10,14,14,30,35,35,27.6,30.6,19.1,42.2,35.0,32.8,5.6,31.6,46.0,7.8
Harrison Barnes,4,,SF/PF,5900,SAC,POR,3,110,18,18,106,106,7%,13,14,12,37,37,34,34.5,28.3,19.7,36.8,35.5,30.6,5.2,32,25.0,4.2
Dennis Schroder,1,,PG/SG,5800,OKC,@IND,1,106,26,15,102,103,-10%,13,13,13,31,30,29,30.4,30.4,17.8,43.1,30.5,28.1,4.8,24.8,16.0,2.8
Josh Richardson,1,,SG/SF,5700,PHI,CLE,1,115,20,11,103,106,17%,10,12,12,32,35,34,28.6,28.3,20.9,35.7,34.0,29.6,5.2,34.2,26.8,4.7
T.J. Warren,2,,SF/PF,5700,IND,OKC,1,107,21,15,103,102,0%,16,16,15,34,36,35,34.0,27.0,14.0,40.0,33.5,28.1,4.9,31.4,37.3,6.5
Collin Sexton,,,PG/SG,5700,CLE,@PHI,1,104,26,15,106,102,3%,18,17,16,31,32,31,29.6,27.1,19.8,34.4,31.5,25.3,4.4,33.3,32.3,5.7
Goran Dragic,5,,PG,5600,MIA,DET,3,112,24,18,103,108,8%,16,11,11,33,28,28,27.2,30.0,18.9,41.2,32.0,32.0,5.7,32.9,31.3,5.6
Caris LeVert,,O,SG/SF,5600,BKN,@UTA,1,106,27,11,101,95,-23%,12,15,16,28,30,32,28.4,29.6,21.0,38.1,0.0,0.0,0.0,0,0.0,0.0
Wendell Carter Jr.,5,,PF/C,5600,CHI,NYK,2,109,18,19,101,108,2%,6,8,9,21,27,27,29.4,29.2,18.5,39.9,29.0,30.2,5.4,35.3,33.0,5.9
Derrick Rose,,O,PG/SG,5500,DET,@MIA,0,103,37,27,106,98,-4%,13,15,15,22,24,24,32.1,32.0,22.3,41.6,0.0,0.0,0.0,0,0.0,0.0
Spencer Dinwiddie,3,,PG/SG,5500,BKN,@UTA,1,106,29,17,101,95,-19%,17,12,13,30,25,25,27.4,28.6,16.4,40.8,28.5,28.8,5.2,23.7,27.8,5.1
Bobby Portis,4,,PF/C,5500,NYK,@CHI,1,103,21,14,105,105,10%,13,11,10,27,23,24,21.9,24.6,11.3,38.0,26.5,27.8,5.1,19,14.3,2.6
Richaun Holmes,11,,PF/C,5400,SAC,POR,3,110,15,19,106,106,-10%,6,7,7,30,29,25,25.9,23.9,10.8,37.0,29.5,31.9,5.9,31.1,32.5,6.0
Tomas Satoransky,,,PG/SF,5400,CHI,NYK,2,109,18,15,101,108,-6%,12,8,7,27,27,26,28.3,23.2,12.0,34.4,27.0,23.5,4.4,23.4,10.0,1.9
Bogdan Bogdanovic,10,,SG/SF,5400,SAC,POR,3,110,23,14,106,106,-3%,12,11,10,30,26,25,26.4,23.0,13.2,32.8,30.5,30.0,5.6,31.8,53.3,9.9
DeAndre Jordan,1,,C,5300,BKN,@UTA,1,106,14,18,101,95,-5%,6,6,5,20,22,22,28.6,24.8,14.4,35.1,21.0,22.1,4.2,30.4,50.8,9.6
Taurean Prince,2,,SF/PF,5200,BKN,@UTA,1,106,17,12,101,95,-13%,6,10,11,19,29,31,28.3,27.0,13.0,41.1,32.0,25.9,5.0,33.8,25.0,4.8
Frank Ntilikina,,,PG/SG,5200,NYK,@CHI,1,103,14,10,105,105,-15%,8,7,6,36,33,24,26.5,17.3,2.8,31.8,32.5,21.3,4.1,28.9,15.3,2.9
Steven Adams,1,,C,5100,OKC,@IND,1,106,17,14,102,103,13%,7,7,7,26,26,27,26.4,25.9,20.8,30.9,27.0,27.1,5.3,19.1,17.8,3.5
