Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,13,,PG/SF,11200,LAL,NYK,1,117,34,26,101,110,3%,19,17,20,36,36,36,58.6,56.2,45.2,67.2,35.5,58.2,5.2,31.4,51.8,4.6
Karl-Anthony Towns,,O,C,10800,MIN,@MEM,1,112,29,28,106,110,5%,19,17,18,36,36,34,52.4,55.0,43.9,66.1,0.0,0.0,0.0,0,0.0,0.0
Anthony Davis,10,P,PF/C,10700,LAL,NYK,1,117,30,29,101,110,8%,19,16,19,38,37,36,54.0,53.0,41.9,64.2,36.0,55.9,5.2,28.2,28.5,2.7
Andre Drummond,17,,C,9700,DET,@CLE,1,112,24,22,101,113,2%,14,14,14,35,34,34,47.5,48.4,36.2,60.6,34.5,52.1,5.4,38.4,61.5,6.3
Kyrie Irving,,O,PG,9400,BKN,OKC,0,109,35,26,100,105,-1%,25,24,24,36,36,35,49.5,52.3,40.6,64.0,0.0,0.0,0.0,0,0.0,0.0
Damian Lillard,10,,PG,9200,POR,@TOR,1,110,30,25,103,101,-2%,21,20,20,38,38,38,50.3,47.6,37.5,57.6,37.5,46.5,5.1,37,42.5,4.6
Pascal Siakam,,O,PF/C,9100,TOR,POR,2,112,29,19,104,109,0%,24,22,21,35,36,37,46.8,45.2,34.9,55.5,0.0,0.0,0.0,0,0.0,0.0
Devin Booker,15,,PG/SG,8800,PHO,SAC,1,117,29,20,100,108,6%,24,22,18,38,38,36,50.3,41.8,30.1,53.4,37.0,44.0,5.0,39.4,51.5,5.9
Kyle Lowry,18,,PG,8700,TOR,POR,2,112,24,18,104,109,6%,18,16,15,41,39,39,40.8,42.4,33.9,51.0,39.5,49.7,5.7,38,48.5,5.6
Hassan Whiteside,13,,C,8600,POR,@TOR,1,110,20,26,103,101,-7%,13,13,11,33,34,30,51.0,41.8,30.5,53.1,33.0,44.6,5.2,36.9,54.5,6.3
Serge Ibaka,8,,PF/C,8300,TOR,POR,2,112,24,18,104,109,0%,18,14,12,32,32,26,37.2,29.4,20.0,38.8,33.5,42.0,5.1,32.2,34.3,4.1
Deandre Ayton,7,,PF/C,8200,PHO,SAC,1,117,,,100,108,-6%,13,13,13,35,29,30,36.9,37.9,29.1,46.8,33.5,41.4,5.0,37.4,36.3,4.4
De'Aaron Fox,10,,PG,7700,SAC,@PHO,0,110,30,20,105,109,3%,14,14,14,32,32,31,38.6,36.8,26.1,47.5,32.0,40.3,5.2,35.8,43.5,5.6
Spencer Dinwiddie,9,,PG/SG,7600,BKN,OKC,0,109,33,20,100,105,-1%,16,19,18,30,31,31,37.1,39.1,29.0,49.3,32.0,39.7,5.2,36,28.3,3.7
Kevin Love,13,,PF/C,7500,CLE,DET,1,108,23,18,102,110,6%,12,13,12,31,32,31,34.6,36.7,24.4,49.0,32.0,39.3,5.2,36.4,49.3,6.6
Fred VanVleet,,O,PG/SG,7400,TOR,POR,2,112,24,16,104,109,6%,18,17,15,37,36,37,39.0,39.1,28.8,49.4,0.0,0.0,0.0,0,0.0,0.0
Julius Randle,15,,PF/C,7300,NYK,@LAL,1,105,27,17,103,102,-7%,16,19,15,35,35,32,46.3,37.0,27.6,46.3,35.0,41.1,5.6,31.5,35.0,4.8
Kelly Oubre Jr.,9,,SF/PF,7300,PHO,SAC,1,117,21,16,100,108,4%,17,17,15,39,39,35,45.9,34.6,24.2,45.0,37.5,36.6,5.0,36.8,29.0,4.0
Jonas Valanciunas,5,,C,7200,MEM,MIN,1,116,22,22,105,107,0%,12,11,11,24,25,25,37.8,33.4,21.8,44.9,25.5,33.2,4.6,22.4,18.8,2.6
Ricky Rubio,8,,PG,7100,PHO,SAC,1,117,23,16,100,108,-5%,9,11,12,35,33,33,35.6,37.2,27.3,47.1,33.5,36.2,5.1,35.2,28.8,4.1
Buddy Hield,13,,SG/SF,7000,SAC,@PHO,0,110,27,15,105,109,2%,19,18,18,37,36,35,40.7,35.5,25.3,45.7,35.5,39.2,5.6,24.2,23.3,3.3
Jaren Jackson Jr.,3,,PF/C,7000,MEM,MIN,1,116,24,17,105,107,-3%,12,13,14,32,30,29,34.9,31.8,22.0,41.7,31.5,35.0,5.0,31,42.8,6.1
Andrew Wiggins,13,,SG/SF,6900,MIN,@MEM,1,112,29,18,106,110,7%,19,21,21,37,37,36,38.3,39.7,30.8,48.6,34.0,38.5,5.6,33.5,24.5,3.6
Chris Paul,15,,PG,6900,OKC,@BKN,0,108,23,21,105,106,13%,13,14,12,31,33,32,38.0,36.3,27.0,45.5,32.0,39.4,5.7,37.7,44.5,6.4
