Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,6,,PG/SF,12400,DAL,PHI,0,113,39,31,102,103,-8%,22,23,21,35,36,34,62.5,60.5,46.5,74.5,34.5,62.1,5.0,33,46.5,3.8
Giannis Antetokounmpo,4,,SF/PF,11500,MIL,@POR,0,118,37,33,104,109,0%,15,17,20,30,31,31,52.2,59.7,48.2,71.3,31.5,60.3,5.2,28.5,63.3,5.5
Andre Drummond,12,,C,10100,DET,CHI,1,110,24,22,103,105,10%,18,15,14,44,37,34,50.4,49.1,36.9,61.4,36.0,60.2,6.0,19.4,19.0,1.9
LeBron James,1,O,PG/SF,10000,LAL,@OKC,0,103,34,26,101,105,0%,22,21,20,32,35,36,61.4,56.5,45.5,67.4,0.0,0.0,0.0,0,0.0,0.0
Anthony Davis,4,,PF/C,9800,LAL,@OKC,0,103,29,29,101,105,-13%,12,15,19,33,36,35,51.2,52.3,40.7,63.9,0.0,0.0,0.0,0,0.0,0.0
Nikola Jokic,8,,C,9700,DEN,CLE,2,115,28,25,101,113,3%,23,17,15,34,31,31,45.5,44.8,31.8,57.7,32.5,51.2,5.3,33.6,43.5,4.5
Joel Embiid,,O,C,9200,PHI,@DAL,1,111,31,26,101,107,3%,17,18,16,33,32,31,48.1,48.9,37.3,60.4,0.0,0.0,0.0,0,0.0,0.0
Damian Lillard,7,,PG,8700,POR,MIL,1,112,30,25,107,100,1%,14,18,19,33,36,37,45.5,47.1,37.3,56.8,37.0,48.6,5.6,35,37.3,4.3
Hassan Whiteside,4,,C,8600,POR,MIL,1,112,20,26,107,100,2%,13,13,11,32,33,30,49.0,42.0,30.8,53.2,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,4,,PG/SF,8500,PHI,@DAL,1,111,22,19,101,107,-8%,14,14,11,38,39,36,49.8,43.1,32.6,53.5,37.0,45.3,5.3,37,43.3,5.1
Brandon Ingram,4,,SF/PF,8400,NOR,@BOS,0,106,29,22,102,103,-2%,19,21,19,38,36,35,47.0,44.6,35.9,53.3,37.5,45.4,5.4,31,30.3,3.6
Zach LaVine,7,,PG/SG,8300,CHI,@DET,0,106,31,19,101,110,4%,24,23,19,37,38,34,49.6,39.5,27.8,51.1,37.0,43.0,5.2,35.8,44.5,5.4
Jayson Tatum,3,,SF/PF,8000,BOS,NOR,1,117,27,17,105,110,5%,15,16,18,34,34,35,33.9,37.9,27.6,48.2,34.5,39.5,4.9,30.4,63.5,7.9
Jrue Holiday,0,,PG/SG,7900,NOR,@BOS,0,106,27,17,102,103,-7%,16,17,18,35,33,36,38.6,40.6,31.5,49.7,0.0,0.0,0.0,0,0.0,0.0
Kemba Walker,3,,PG,7600,BOS,NOR,1,117,29,22,105,110,5%,20,19,18,32,33,33,36.3,39.9,28.9,50.8,32.5,39.9,5.2,28.9,36.3,4.8
Khris Middleton,2,,SG/SF,7500,MIL,@POR,0,118,26,20,104,109,8%,14,15,15,31,31,29,37.0,34.9,26.8,42.9,30.5,35.9,4.8,28.1,40.0,5.3
Kristaps Porzingis,,O,PF/C,7400,DAL,PHI,0,113,25,17,102,103,-11%,11,14,16,28,33,33,38.7,39.1,28.9,49.4,0.0,0.0,0.0,0,0.0,0.0
Derrick Rose,4,,PG/SG,7300,DET,CHI,1,110,33,22,103,105,-13%,23,19,15,33,30,26,35.1,31.4,23.4,39.4,29.0,35.6,4.9,29,32.0,4.4
Kevin Love,4,,PF/C,7200,CLE,@DEN,1,103,23,18,100,105,-2%,15,13,12,37,33,31,33.6,37.0,24.9,49.2,33.5,39.2,5.4,36.8,43.3,6.0
Will Barton,2,,PG/SF,7100,DEN,CLE,2,115,20,17,101,113,11%,14,14,13,34,34,34,35.2,33.2,23.2,43.2,33.0,33.8,4.8,38.4,39.8,5.6
Tristan Thompson,1,,C,7000,CLE,@DEN,1,103,19,17,100,105,-1%,14,9,11,39,34,32,34.8,33.6,23.2,44.1,32.5,31.2,4.5,38.4,39.8,5.7
Jaylen Brown,3,,SG/SF,6900,BOS,NOR,1,117,24,18,105,110,0%,13,15,15,31,33,34,30.8,35.6,25.8,45.5,34.0,35.5,5.1,30.5,22.5,3.3
Jamal Murray,5,,PG/SG,6900,DEN,CLE,2,115,26,17,101,113,6%,16,16,15,33,34,33,36.1,34.0,23.1,44.9,33.0,35.5,5.1,35,41.3,6.0
Chris Paul,5,,PG,6800,OKC,LAL,1,112,23,21,103,102,-2%,15,14,12,33,32,32,37.5,36.6,27.5,45.8,32.5,39.1,5.8,31.8,36.3,5.3
Tobias Harris,6,,SF/PF,6800,PHI,@DAL,1,111,23,17,101,107,-1%,18,17,16,38,37,35,33.3,36.0,26.9,45.1,34.5,39.4,5.8,34.1,36.5,5.4
Lonzo Ball,4,,PG,6700,NOR,@BOS,0,106,22,14,102,103,-7%,13,15,11,38,36,30,42.0,30.2,18.1,42.2,36.0,34.7,5.2,33.3,42.3,6.3
Al Horford,5,,PF/C,6700,PHI,@DAL,1,111,19,16,101,107,0%,11,9,11,33,31,31,22.9,30.4,21.4,39.5,32.5,36.4,5.4,32.9,38.0,5.7
Shai Gilgeous-Alexander,3,,PG/SG,6600,OKC,LAL,1,112,24,17,103,102,-1%,17,16,16,35,35,36,34.1,33.9,24.1,43.7,36.0,35.2,5.3,34.9,38.0,5.8
CJ McCollum,3,,PG/SG,6500,POR,MIL,1,112,26,17,107,100,-4%,19,18,20,35,36,37,32.5,36.7,25.4,48.0,36.0,36.9,5.7,34.3,36.3,5.6
Gordon Hayward,4,,SF/PF,6500,BOS,NOR,1,117,21,19,105,110,5%,13,14,13,33,35,33,28.5,33.2,21.8,44.5,33.0,34.1,5.2,28.2,34.3,5.3
Zion Williamson,,O,PF/C,6500,NOR,@BOS,0,106,,,102,103,-3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Steven Adams,4,,C,6400,OKC,LAL,1,112,18,22,103,102,-13%,7,8,8,30,31,29,38.8,32.8,23.5,42.1,32.0,35.4,5.5,29.4,29.0,4.5
Josh Richardson,4,,SG/SF,6400,PHI,@DAL,1,111,22,14,101,107,-1%,17,13,13,35,36,33,32.3,29.4,21.0,37.7,35.0,33.0,5.2,34.2,18.0,2.8
Derrick Favors,,,PF/C,6400,NOR,@BOS,0,106,16,20,102,103,-3%,4,6,7,18,25,24,29.1,27.4,15.1,39.7,0.0,0.0,0.0,0,0.0,0.0
Lauri Markkanen,3,,PF/C,6300,CHI,@DET,0,106,21,15,101,110,7%,11,14,12,32,32,30,29.1,29.1,19.3,38.9,33.0,32.0,5.1,28.2,25.8,4.1
Danilo Gallinari,1,,SF/PF,6200,OKC,LAL,1,112,23,19,103,102,-4%,12,15,13,29,29,31,33.1,31.3,23.8,38.9,30.5,32.4,5.2,31.6,32.5,5.2
Eric Bledsoe,6,,PG,6100,MIL,@POR,0,118,25,19,104,109,6%,14,11,12,30,26,27,30.1,32.0,22.6,41.4,28.0,33.5,5.5,27.2,42.0,6.9
Thaddeus Young,0,,SF/PF,6000,CHI,@DET,0,106,21,12,101,110,7%,12,10,9,30,26,22,24.5,20.1,12.5,27.6,27.5,25.0,4.2,19.8,8.0,1.3
Jusuf Nurkic,,O,C,5900,POR,MIL,1,112,,,107,100,2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Wendell Carter Jr.,,O,C,5800,CHI,@DET,0,106,16,16,101,110,7%,11,9,9,36,31,31,31.7,30.1,22.5,37.8,0.0,0.0,0.0,0,0.0,0.0
Bruce Brown,0,,PG/SF,5800,DET,CHI,1,110,17,12,103,105,-3%,13,11,8,33,31,28,30.6,23.8,13.3,34.4,30.5,26.8,4.6,34.1,19.8,3.4
Collin Sexton,1,,PG/SG,5700,CLE,@DEN,1,103,27,15,100,105,-5%,19,19,16,37,36,31,31.9,27.7,21.0,34.4,34.5,29.2,5.1,34.3,31.8,5.6
JJ Redick,,,SG/SF,5700,NOR,@BOS,0,106,19,16,102,103,-2%,12,11,11,29,29,29,28.0,24.9,15.6,34.3,0.0,0.0,0.0,0,0.0,0.0
Dennis Schroder,5,,PG/SG,5600,OKC,LAL,1,112,27,16,103,102,-2%,14,14,15,31,33,31,27.8,30.0,20.6,39.4,31.0,32.0,5.7,33.9,26.0,4.6
Carmelo Anthony,4,,SF/PF,5600,POR,MIL,1,112,22,13,107,100,3%,14,13,15,30,32,33,27.6,29.0,18.6,39.5,35.0,33.5,6.0,32.9,36.8,6.6
Enes Kanter,2,,C,5600,BOS,NOR,1,117,20,24,105,110,0%,5,8,7,17,20,20,25.9,25.2,16.3,34.1,20.5,25.0,4.5,23.1,48.3,8.6
