first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
James,Harden,PG,,2019-10-26,,HOU,NO,-11.5,238.5,125,10200,20,51.3,59.7,64.3,59.8,5.86
Russell,Westbrook,PG,,2019-10-26,,HOU,NO,-11.5,238.5,125,9100,20,35.3,55.7,79.5,52.8,5.80
Andre,Drummond,C,,2019-10-26,,DET,PHI,+3.0,213.5,105.3,9500,7,37.0,50.6,78.3,52.0,5.47
Rudy,Gobert,C,,2019-10-26,,UTA,SAC,-9.5,221.5,115.5,8200,28,24.5,27.7,35.0,47.8,5.82
Nikola,Vucevic,C,,2019-10-26,,ORL,ATL,-2.5,216,109.3,8300,14,15.8,30.6,56.5,46.8,5.63
Kawhi,Leonard,SF,,2019-10-26,,LAC,PHO,-10.0,226,118,8900,10,39.5,51.0,68.0,45.3,5.08
Trae,Young,PG,,2019-10-26,,ATL,ORL,+2.5,216,106.8,8800,4,27.3,49.4,63.3,43.8,4.97
Devin,Booker,PG,,2019-10-26,,PHO,LAC,+10.0,226,108,8700,10,9.5,40.8,68.3,43.8,5.03
Ben,Simmons,PG,,2019-10-26,,PHI,DET,-3.0,213.5,108.3,8600,7,25.3,35.0,45.5,43.3,5.03
Pascal,Siakam,PF,,2019-10-26,,TOR,CHI,-3.0,219,111,8500,17,21.0,42.4,66.5,42.8,5.03
Donovan,Mitchell,PG,,2019-10-26,,UTA,SAC,-9.5,221.5,115.5,7900,29,20.5,44.5,57.5,42.3,5.35
Bradley,Beal,SG,,2019-10-26,,WAS,SA,+11.5,219.5,104,9000,21,26.8,33.9,45.5,42.0,4.67
Clint,Capela,C,,2019-10-26,,HOU,NO,-11.5,238.5,125,7600,19,18.8,27.5,37.5,41.3,5.43
Kemba,Walker,PG,,2019-10-26,,BOS,NY,-5.5,217.5,111.5,8200,19,16.5,41.6,58.0,40.8,4.97
Kevin,Love,PF,,2019-10-26,,CLE,IND,+5.0,213,104,8400,6,15.5,33.9,53.3,40.5,4.82
Domantas,Sabonis,PF,,2019-10-26,,IND,CLE,-5.0,213,109,7500,19,18.8,29.4,46.8,40.5,5.40
Julius,Randle,PF,,2019-10-26,,NY,BOS,+5.5,217.5,106,8000,21,28.3,45.4,59.3,39.8,4.97
John,Collins,PF,,2019-10-26,,ATL,ORL,+2.5,216,106.8,7400,28,29.0,45.4,62.8,39.0,5.27
LaMarcus,Aldridge,PF,,2019-10-26,,SA,WAS,-11.5,219.5,115.5,7700,10,36.0,41.6,50.0,38.3,4.97
Jayson,Tatum,SF,,2019-10-26,,BOS,NY,-5.5,217.5,111.5,6500,8,25.5,40.7,50.3,37.5,5.77
De'Aaron,Fox,PG,Q,2019-10-26,,SAC,UTA,+9.5,221.5,106,7800,30,8.3,30.9,57.0,37.5,4.81
Lauri,Markkanen,PF,,2019-10-26,,CHI,TOR,+3.0,219,108,8100,1,26.3,42.3,62.8,37.3,4.60
Myles,Turner,C,,2019-10-26,,IND,CLE,-5.0,213,109,6300,17,18.8,27.9,46.3,36.5,5.79
Kyle,Lowry,PG,,2019-10-26,,TOR,CHI,-3.0,219,111,7300,3,28.0,42.7,57.8,36.5,5.00
Montrezl,Harrell,PF,,2019-10-26,,LAC,PHO,-10.0,226,118,6200,27,20.0,27.5,34.8,36.5,5.89
Lou,Williams,PG,,2019-10-26,,LAC,PHO,-10.0,226,118,6800,22,21.5,35.4,52.5,36.5,5.37
Tobias,Harris,SF,,2019-10-26,,PHI,DET,-3.0,213.5,108.3,6200,15,26.5,35.7,44.3,36.3,5.85
Zach,LaVine,PG,,2019-10-26,,CHI,TOR,+3.0,219,108,7700,28,34.3,43.7,59.5,36.3,4.71
Mike,Conley,PG,,2019-10-26,,UTA,SAC,-9.5,221.5,115.5,7400,29,13.5,31.0,50.0,35.8,4.83
DeMar,DeRozan,SG,,2019-10-26,,SA,WAS,-11.5,219.5,115.5,7500,6,24.0,33.0,43.8,35.8,4.77
Aaron,Gordon,SF,,2019-10-26,,ORL,ATL,-2.5,216,109.3,6400,24,21.3,29.7,43.8,35.3,5.51
Malcolm,Brogdon,PG,,2019-10-26,,IND,CLE,-5.0,213,109,6500,18,14.8,31.0,45.8,35.0,5.38
Gordon,Hayward,SF,,2019-10-26,,BOS,NY,-5.5,217.5,111.5,5900,8,7.8,22.0,33.8,34.5,5.85
Thomas,Bryant,PF,,2019-10-26,,WAS,SA,+11.5,219.5,104,7100,13,24.5,33.7,49.8,34.3,4.82
Lonzo,Ball,PG,,2019-10-26,,NO,HOU,+11.5,238.5,113.5,5900,12,22.3,35.4,44.0,34.3,5.81
Fred,VanVleet,PG,,2019-10-26,,TOR,CHI,-3.0,219,111,6200,3,16.5,29.9,56.3,33.8,5.44
Buddy,Hield,SG,,2019-10-26,,SAC,UTA,+9.5,221.5,106,6100,11,16.8,27.4,37.8,33.3,5.45
Al,Horford,PF,,2019-10-26,,PHI,DET,-3.0,213.5,108.3,5800,12,25.0,31.1,38.5,32.8,5.65
Brandon,Ingram,SF,,2019-10-26,,NO,HOU,+11.5,238.5,113.5,6900,6,34.8,41.5,46.5,32.5,4.71
Jaylen,Brown,SG,,2019-10-26,,BOS,NY,-5.5,217.5,111.5,5000,18,18.3,29.3,46.8,31.5,6.30
RJ,Barrett,PG,,2019-10-26,,NY,BOS,+5.5,217.5,106,6300,13,33.3,34.0,34.8,31.3,4.96
Kelly,Oubre Jr.,SF,,2019-10-26,,PHO,LAC,+10.0,226,108,6000,9,27.0,39.3,45.5,30.3,5.04
Marc,Gasol,C,,2019-10-26,,TOR,CHI,-3.0,219,111,5800,26,13.0,20.2,30.5,29.8,5.13
Serge,Ibaka,PF,,2019-10-26,,TOR,CHI,-3.0,219,111,5700,17,19.8,25.7,30.5,29.0,5.09
Marcus,Morris,SF,,2019-10-26,,NY,BOS,+5.5,217.5,106,5300,23,16.5,32.8,40.5,28.3,5.33
T.J.,Warren,SF,,2019-10-26,,IND,CLE,-5.0,213,109,5500,18,7.8,20.8,31.5,28.0,5.09
Tristan,Thompson,C,,2019-10-26,,CLE,IND,+5.0,213,104,5700,6,16.3,24.1,34.3,27.8,4.87
Derrick,Rose,PG,,2019-10-26,,DET,PHI,+3.0,213.5,105.3,4900,1,8.3,24.7,38.3,27.0,5.51
OG,Anunoby,SF,,2019-10-26,,TOR,CHI,-3.0,219,111,4400,12,5.0,14.6,23.8,27.0,6.14
Wendell,Carter Jr.,PF,,2019-10-26,,CHI,TOR,+3.0,219,108,5800,1,12.8,21.6,25.3,26.8,4.61
Jonathan,Isaac,SF,,2019-10-26,,ORL,ATL,-2.5,216,109.3,5700,24,8.0,16.4,33.3,26.5,4.65
Josh,Richardson,PG,,2019-10-26,,PHI,DET,-3.0,213.5,108.3,4900,7,15.8,27.6,34.5,26.5,5.41
Dejounte,Murray,PG,,2019-10-26,,SA,WAS,-11.5,219.5,115.5,5700,21,10.0,22.4,41.5,26.5,4.65
Alex,Len,C,,2019-10-26,,ATL,ORL,+2.5,216,106.8,5200,9,17.3,31.4,55.5,26.3,5.05
Derrick,Favors,PF,,2019-10-26,,NO,HOU,+11.5,238.5,113.5,5700,18,18.0,23.7,32.8,25.8,4.52
Larry,Nance Jr.,PF,,2019-10-26,,CLE,IND,+5.0,213,104,5000,6,30.0,38.9,44.0,25.8,5.15
Bojan,Bogdanovic,SF,Q,2019-10-26,,UTA,SAC,-9.5,221.5,115.5,5100,16,19.5,31.2,46.5,25.3,4.95
Frank,Kaminsky,PF,,2019-10-26,,PHO,LAC,+10.0,226,108,4000,26,10.3,25.2,36.3,25.0,6.25
Mitchell,Robinson,C,,2019-10-26,,NY,BOS,+5.5,217.5,106,5200,3,15.5,27.8,34.8,24.8,4.76
