first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
James,Harden,PG,,2019-11-16,,HOU,MIN,+1.5,232.5,115.5,12200,17,62.0,70.8,75.0,69.3,5.68
Giannis,Antetokounmpo,SF,,2019-11-16,,MIL,IND,-7.5,222.5,115,12000,6,60.3,67.5,81.5,60.0,5.00
Karl-Anthony,Towns,C,,2019-11-16,,MIN,HOU,-1.5,232.5,117,10100,2,47.0,53.2,60.5,59.3,5.87
Luka,Doncic,PG,,2019-11-16,,DAL,TOR,-4.0,218.5,111.3,10300,23,43.8,60.6,73.0,55.8,5.41
Trae,Young,PG,,2019-11-16,,ATL,LAC,+11.0,222,105.5,9400,24,15.3,51.0,68.0,51.8,5.51
Domantas,Sabonis,PF,,2019-11-16,,IND,MIL,+7.5,222.5,107.5,8500,22,38.3,46.9,56.0,50.8,5.97
Damian,Lillard,PG,,2019-11-16,,POR,SA,+1.0,225.5,112.3,8700,2,29.3,48.8,75.0,50.0,5.75
Pascal,Siakam,PF,,2019-11-16,,TOR,DAL,+4.0,218.5,107.3,9200,20,41.0,52.1,64.5,47.0,5.11
Jimmy,Butler,SG,Q,2019-11-16,,MIA,NO,-7.0,227,117,7600,25,33.3,40.1,48.8,45.5,5.99
Julius,Randle,PF,,2019-11-16,,NY,CHA,-3.5,212,107.8,6400,8,30.3,35.1,41.5,42.8,6.68
Jrue,Holiday,PG,,2019-11-16,,NO,MIA,+7.0,227,110,8600,9,38.0,46.0,63.8,42.0,4.88
Paul,George,SF,,2019-11-16,,LAC,ATL,-11.0,222,116.5,7900,17,40.5,48.2,58.5,41.8,5.28
Bam,Adebayo,C,,2019-11-16,,MIA,NO,-7.0,227,117,7500,8,27.8,39.0,49.0,40.5,5.40
Kristaps,Porzingis,PF,,2019-11-16,,DAL,TOR,-4.0,218.5,111.3,7000,11,13.8,34.7,50.8,39.8,5.68
DeMar,DeRozan,SG,,2019-11-16,,SA,POR,-1.0,225.5,113.3,7200,24,29.5,34.7,44.3,39.3,5.45
LaMarcus,Aldridge,PF,,2019-11-16,,SA,POR,-1.0,225.5,113.3,6600,30,10.5,33.4,57.0,38.0,5.76
Hassan,Whiteside,C,,2019-11-16,,POR,SA,+1.0,225.5,112.3,6300,20,26.8,38.0,48.3,38.0,6.03
Lou,Williams,PG,,2019-11-16,,LAC,ATL,-11.0,222,116.5,7400,26,34.0,44.8,58.5,37.3,5.03
Fred,VanVleet,PG,,2019-11-16,,TOR,DAL,+4.0,218.5,107.3,7100,14,24.5,41.1,52.8,36.5,5.14
Devonte',Graham,PG,,2019-11-16,,CHA,NY,+3.5,212,104.3,7200,30,27.8,39.2,50.8,35.8,4.97
Terry,Rozier,PG,,2019-11-16,,CHA,NY,+3.5,212,104.3,6700,30,9.8,30.9,53.3,34.3,5.11
Derrick,Favors,PF,,2019-11-16,,NO,MIA,+7.0,227,110,6200,27,5.5,30.1,52.5,34.3,5.52
Eric,Bledsoe,PG,,2019-11-16,,MIL,IND,-7.5,222.5,115,7300,6,34.5,42.7,49.5,33.8,4.62
Montrezl,Harrell,PF,,2019-11-16,,LAC,ATL,-11.0,222,116.5,6900,17,19.8,40.0,62.8,33.0,4.78
Jabari,Parker,SF,,2019-11-16,,ATL,LAC,+11.0,222,105.5,7000,8,30.3,41.4,57.3,32.8,4.68
RJ,Barrett,PG,Q,2019-11-16,,NY,CHA,-3.5,212,107.8,5600,4,12.8,26.9,46.0,32.5,5.80
Marc,Gasol,C,,2019-11-16,,TOR,DAL,+4.0,218.5,107.3,5700,9,12.3,22.1,31.3,32.5,5.70
CJ,McCollum,PG,,2019-11-16,,POR,SA,+1.0,225.5,112.3,6500,2,19.3,34.3,46.0,32.0,4.92
Kendrick,Nunn,PG,,2019-11-16,,MIA,NO,-7.0,227,117,5800,22,15.0,28.1,45.8,31.8,5.47
Jeff,Teague,PG,Q,2019-11-16,,MIN,HOU,-1.5,232.5,117,5100,10,20.0,31.0,46.0,31.8,6.23
Aaron,Holiday,PG,,2019-11-16,,IND,MIL,+7.5,222.5,107.5,4900,28,19.8,24.7,30.5,29.8,6.07
Myles,Turner,C,Q,2019-11-16,,IND,MIL,+7.5,222.5,107.5,6100,14,10.0,27.5,46.3,29.5,4.84
Marcus,Morris,SF,,2019-11-16,,NY,CHA,-3.5,212,107.8,6000,29,17.0,32.6,47.8,29.5,4.92
T.J.,Warren,SF,,2019-11-16,,IND,MIL,+7.5,222.5,107.5,5700,21,10.0,26.0,37.3,28.5,5.00
P.J.,Tucker,SF,,2019-11-16,,HOU,MIN,+1.5,232.5,115.5,4400,1,16.8,25.5,45.8,28.0,6.36
Robert,Covington,SF,,2019-11-16,,MIN,HOU,-1.5,232.5,117,4800,27,18.0,27.9,48.8,28.0,5.83
Kenrich,Williams,SF,,2019-11-16,,NO,MIA,+7.0,227,110,5300,3,7.5,22.1,33.3,27.8,5.24
