first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Giannis,Antetokounmpo,SF,,2019-11-23,,MIL,DET,-13.0,225.5,119.3,12000,20,54.8,63.3,79.3,63.0,5.25
LeBron,James,PG,,2019-11-23,,LAL,MEM,-8.0,226,117,11100,30,52.5,58.4,68.3,54.8,4.93
Anthony,Davis,PF,,2019-11-23,,LAL,MEM,-8.0,226,117,10000,20,30.8,48.2,62.3,52.3,5.23
Andre,Drummond,C,,2019-11-23,,DET,MIL,+13.0,225.5,106.3,8300,25,32.8,41.2,50.3,50.5,6.08
Joel,Embiid,C,,2019-11-23,,PHI,MIA,-5.0,212.5,108.8,9200,1,25.0,46.9,61.0,49.8,5.41
Pascal,Siakam,PF,,2019-11-23,,TOR,ATL,-7.5,223,115.3,9100,15,31.8,42.0,52.0,48.5,5.33
Damian,Lillard,PG,Q,2019-11-23,,POR,CLE,-6.0,227,116.5,8900,10,29.3,40.3,51.3,48.3,5.42
Trae,Young,PG,,2019-11-23,,ATL,TOR,+7.5,223,107.8,9800,14,28.5,40.4,46.3,47.5,4.85
Domantas,Sabonis,PF,,2019-11-23,,IND,ORL,-6.0,201,103.5,8100,30,34.5,44.0,56.0,44.3,5.46
Donovan,Mitchell,PG,,2019-11-23,,UTA,NO,-6.0,223,114.5,7900,3,30.8,42.3,53.3,43.0,5.44
CJ,McCollum,PG,,2019-11-23,,POR,CLE,-6.0,227,116.5,8700,10,37.5,48.6,68.0,43.0,4.94
Ben,Simmons,PG,,2019-11-23,,PHI,MIA,-5.0,212.5,108.8,7700,13,34.5,43.0,51.8,42.5,5.52
Fred,VanVleet,PG,,2019-11-23,,TOR,ATL,-7.5,223,115.3,7300,12,33.5,41.2,52.5,41.5,5.68
Jimmy,Butler,SG,,2019-11-23,,MIA,PHI,+5.0,212.5,103.8,8600,7,33.5,46.0,50.8,41.3,4.80
Julius,Randle,PF,,2019-11-23,,NY,SA,+2.5,217,107.3,6800,14,29.3,36.5,51.8,39.3,5.77
Mike,Conley,PG,,2019-11-23,,UTA,NO,-6.0,223,114.5,7200,3,27.0,33.6,41.5,37.8,5.24
Tristan,Thompson,C,,2019-11-23,,CLE,POR,+6.0,227,110.5,6100,18,9.3,24.9,35.0,37.5,6.15
Brandon,Ingram,SF,,2019-11-23,,NO,UTA,+6.0,223,108.5,8400,16,41.3,46.6,56.3,37.0,4.40
Jrue,Holiday,PG,,2019-11-23,,NO,UTA,+6.0,223,108.5,8200,7,25.5,45.4,63.8,37.0,4.51
Bam,Adebayo,C,,2019-11-23,,MIA,PHI,+5.0,212.5,103.8,7400,14,32.8,43.4,50.8,36.0,4.86
Ja,Morant,PG,,2019-11-23,,MEM,LAL,+8.0,226,109,6700,17,19.0,32.3,42.8,35.8,5.34
Eric,Bledsoe,PG,,2019-11-23,,MIL,DET,-13.0,225.5,119.3,7600,26,21.8,37.8,49.5,35.5,4.67
LaMarcus,Aldridge,PF,,2019-11-23,,SA,NY,-2.5,217,109.8,7200,7,29.0,37.8,54.8,35.3,4.90
Myles,Turner,C,,2019-11-23,,IND,ORL,-6.0,201,103.5,6000,4,10.0,26.9,43.5,34.8,5.79
DeMar,DeRozan,SG,,2019-11-23,,SA,NY,-2.5,217,109.8,7800,1,32.0,41.0,53.5,34.5,4.42
Lauri,Markkanen,PF,,2019-11-23,,CHI,CHA,-2.0,218,110,6400,29,18.8,27.2,38.5,34.5,5.39
Devonte',Graham,PG,,2019-11-23,,CHA,CHI,+2.0,218,108,7100,8,22.5,34.9,42.5,34.5,4.86
Zach,LaVine,PG,,2019-11-23,,CHI,CHA,-2.0,218,110,6600,2,14.3,30.6,46.8,34.0,5.15
Tobias,Harris,SF,,2019-11-23,,PHI,MIA,-5.0,212.5,108.8,6400,1,26.0,37.3,47.3,33.8,5.27
Larry,Nance Jr.,PF,,2019-11-23,,CLE,POR,+6.0,227,110.5,5000,25,11.0,25.8,37.3,33.3,6.65
Jabari,Parker,SF,,2019-11-23,,ATL,TOR,+7.5,223,107.8,6300,26,25.0,29.9,40.3,33.3,5.28
Jonas,Valanciunas,C,,2019-11-23,,MEM,LAL,+8.0,226,109,6200,9,18.5,30.0,39.0,33.3,5.36
Terry,Rozier,PG,,2019-11-23,,CHA,CHI,+2.0,218,108,6300,8,19.8,27.8,34.8,33.0,5.24
RJ,Barrett,PG,,2019-11-23,,NY,SA,+2.5,217,107.3,5700,23,19.8,30.1,46.0,32.5,5.70
Al,Horford,PF,,2019-11-23,,PHI,MIA,-5.0,212.5,108.8,6000,24,23.5,30.7,37.8,32.3,5.38
Bojan,Bogdanovic,SF,,2019-11-23,,UTA,NO,-6.0,223,114.5,6300,27,21.0,28.9,43.0,32.0,5.08
Jonathan,Isaac,SF,,2019-11-23,,ORL,IND,+6.0,201,97.5,7500,12,20.3,36.8,53.0,30.5,4.07
Kendrick,Nunn,PG,,2019-11-23,,MIA,PHI,+5.0,212.5,103.8,6200,11,22.5,32.3,45.8,30.5,4.92
Luke,Kennard,SG,,2019-11-23,,DET,MIL,+13.0,225.5,106.3,6200,8,21.3,30.9,40.3,30.3,4.88
Wendell,Carter Jr.,PF,,2019-11-23,,CHI,CHA,-2.0,218,110,6200,29,16.5,26.5,39.0,29.8,4.80
Marc,Gasol,C,,2019-11-23,,TOR,ATL,-7.5,223,115.3,5700,17,22.3,27.3,31.3,29.3,5.13
Jeremy,Lamb,SG,Q,2019-11-23,,IND,ORL,-6.0,201,103.5,5900,26,20.5,33.0,42.5,29.3,4.96
Marcus,Morris,SF,,2019-11-23,,NY,SA,+2.5,217,107.3,7000,21,26.5,37.2,53.8,28.5,4.07
Josh,Richardson,SG,,2019-11-23,,PHI,MIA,-5.0,212.5,108.8,5800,12,16.0,29.2,36.3,28.5,4.91
JJ,Redick,SG,,2019-11-23,,NO,UTA,+6.0,223,108.5,5600,22,27.8,32.8,38.8,28.3,5.04
Derrick,Rose,PG,,2019-11-23,,DET,MIL,+13.0,225.5,106.3,5600,27,20.3,26.1,40.8,28.3,5.04
Langston,Galloway,PG,,2019-11-23,,DET,MIL,+13.0,225.5,106.3,4800,27,14.8,23.2,39.5,27.8,5.78
Evan,Fournier,SG,,2019-11-23,,ORL,IND,+6.0,201,97.5,6400,17,21.5,35.5,43.8,27.8,4.34
Norman,Powell,SG,,2019-11-23,,TOR,ATL,-7.5,223,115.3,5200,29,14.8,26.1,39.0,27.3,5.24
Skal,Labissiere,PF,,2019-11-23,,POR,CLE,-6.0,227,116.5,5600,23,8.5,24.3,56.0,27.3,4.87
Christian,Wood,PF,,2019-11-23,,DET,MIL,+13.0,225.5,106.3,4000,22,3.5,20.6,33.5,27.0,6.75
OG,Anunoby,SF,,2019-11-23,,TOR,ATL,-7.5,223,115.3,5300,30,1.0,16.2,35.8,27.0,5.09
Mitchell,Robinson,C,,2019-11-23,,NY,SA,+2.5,217,107.3,5000,22,12.5,23.1,38.5,26.8,5.35
Collin,Sexton,PG,,2019-11-23,,CLE,POR,+6.0,227,110.5,5100,24,18.8,23.7,26.5,26.5,5.20
Aaron,Holiday,PG,,2019-11-23,,IND,ORL,-6.0,201,103.5,6600,5,19.8,31.8,53.5,26.5,4.02
Miles,Bridges,SF,,2019-11-23,,CHA,CHI,+2.0,218,108,5300,6,6.0,23.5,47.5,26.5,5.00
Brook,Lopez,C,,2019-11-23,,MIL,DET,-13.0,225.5,119.3,5300,26,19.5,31.4,50.0,26.0,4.91
Carmelo,Anthony,SF,,2019-11-23,,POR,CLE,-6.0,227,116.5,5000,28,7.8,19.8,32.8,25.5,5.10
Terrence,Ross,SG,,2019-11-23,,ORL,IND,+6.0,201,97.5,4900,17,17.0,22.5,26.0,25.3,5.15
Dillon,Brooks,SG,,2019-11-23,,MEM,LAL,+8.0,226,109,5000,6,5.5,25.7,32.0,25.0,5.00
PJ,Washington,PF,,2019-11-23,,CHA,CHI,+2.0,218,108,5100,9,8.0,20.3,34.3,24.8,4.85
Jaren,Jackson Jr.,PF,,2019-11-23,,MEM,LAL,+8.0,226,109,5100,6,8.0,27.1,44.0,24.8,4.85
T.J.,Warren,SF,,2019-11-23,,IND,ORL,-6.0,201,103.5,5700,10,10.0,26.5,37.3,24.8,4.34
De'Andre,Hunter,SF,,2019-11-23,,ATL,TOR,+7.5,223,107.8,5100,26,17.5,28.1,46.3,24.8,4.85
Coby,White,PG,,2019-11-23,,CHI,CHA,-2.0,218,110,5000,2,15.5,25.9,44.3,24.3,4.85
E'Twaun,Moore,SG,,2019-11-23,,NO,UTA,+6.0,223,108.5,5000,22,18.0,25.1,34.5,24.3,4.85
Cody,Zeller,C,,2019-11-23,,CHA,CHI,+2.0,218,108,5300,30,14.5,16.9,22.3,24.0,4.53
