first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Giannis,Antetokounmpo,SF,,2019-10-24,,MIL,HOU,+1.5,230,114.3,10300,6,42.5,54.3,64.8,58.0,5.63
James,Harden,PG,,2019-10-24,,HOU,MIL,-1.5,230,115.8,9700,3,43.0,58.1,64.3,57.5,5.93
Andre,Drummond,C,,2019-10-24,,DET,ATL,-1.5,222,111.8,8300,13,32.0,47.3,78.3,55.8,6.72
Stephen,Curry,PG,,2019-10-24,,GS,LAC,+1.0,228.5,113.8,9400,11,39.8,49.7,73.0,52.0,5.53
Russell,Westbrook,PG,,2019-10-24,,HOU,MIL,-1.5,230,115.8,8900,3,35.3,53.8,79.5,46.3,5.20
Kawhi,Leonard,SF,,2019-10-24,,LAC,GS,-1.0,228.5,114.8,9100,29,39.5,53.8,68.0,45.8,5.03
Trae,Young,PG,,2019-10-24,,ATL,DET,+1.5,222,110.3,8600,10,27.3,46.6,63.3,42.8,4.97
Clint,Capela,C,,2019-10-24,,HOU,MIL,-1.5,230,115.8,7500,12,18.8,26.9,34.5,39.3,5.23
John,Collins,PF,,2019-10-24,,ATL,DET,+1.5,222,110.3,7300,10,29.0,43.5,62.8,39.3,5.38
Draymond,Green,PF,,2019-10-24,,GS,LAC,+1.0,228.5,113.8,7100,23,34.8,46.2,63.8,38.3,5.39
D'Angelo,Russell,PG,,2019-10-24,,GS,LAC,+1.0,228.5,113.8,7800,11,19.0,32.3,45.8,37.3,4.78
Khris,Middleton,SG,,2019-10-24,,MIL,HOU,+1.5,230,114.3,6900,28,15.8,29.1,50.0,37.0,5.36
Lou,Williams,PG,,2019-10-24,,LAC,GS,-1.0,228.5,114.8,6700,8,21.5,32.8,52.5,35.8,5.34
Montrezl,Harrell,PF,,2019-10-24,,LAC,GS,-1.0,228.5,114.8,6100,11,20.0,26.6,34.8,34.0,5.57
Eric,Bledsoe,PG,Q,2019-10-24,,MIL,HOU,+1.5,230,114.3,6300,15,11.8,24.0,29.5,32.5,5.16
Derrick,Rose,PG,,2019-10-24,,DET,ATL,-1.5,222,111.8,5400,14,8.3,23.7,38.3,29.5,5.46
Brook,Lopez,C,,2019-10-24,,MIL,HOU,+1.5,230,114.3,5800,2,17.0,26.4,36.3,27.8,4.78
Alex,Len,C,,2019-10-24,,ATL,DET,+1.5,222,110.3,5500,17,17.3,35.2,55.5,27.0,4.91
Reggie,Jackson,PG,Q,2019-10-24,,DET,ATL,-1.5,222,111.8,5300,14,13.8,30.2,44.8,26.3,4.95
Luke,Kennard,SG,,2019-10-24,,DET,ATL,-1.5,222,111.8,4700,30,19.8,28.2,39.3,24.3,5.16
Kevon,Looney,PF,,2019-10-24,,GS,LAC,+1.0,228.5,113.8,5100,23,0.8,12.3,19.3,22.8,4.46
Patrick,Beverley,PG,,2019-10-24,,LAC,GS,-1.0,228.5,114.8,4600,8,9.3,33.6,46.0,22.8,4.95
Tony,Snell,SG,,2019-10-24,,DET,ATL,-1.5,222,111.8,3400,30,0.8,4.7,16.0,22.3,6.54
