first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Anthony,Davis,PF,,2019-11-05,,LAL,CHI,-7.0,216.5,111.8,10000,30,45.3,55.7,73.5,57.8,5.78
LeBron,James,PG,,2019-11-05,,LAL,CHI,-7.0,216.5,111.8,9600,7,37.5,59.2,91.0,55.3,5.76
Nikola,Jokic,C,,2019-11-05,,DEN,MIA,-5.0,211.5,108.3,9400,15,30.5,41.8,65.0,47.8,5.08
Kevin,Love,PF,,2019-11-05,,CLE,BOS,+6.0,215.5,104.8,8800,17,39.0,49.6,55.8,45.8,5.20
Trae,Young,PG,,2019-11-05,,ATL,SA,+5.5,221.5,108,9200,19,12.0,45.9,65.3,43.0,4.67
Kemba,Walker,PG,,2019-11-05,,BOS,CLE,-6.0,215.5,110.8,8500,24,16.5,41.8,53.0,42.3,4.97
Malcolm,Brogdon,PG,,2019-11-05,,IND,CHA,-3.0,211.5,107.3,8200,3,36.3,48.2,57.5,41.5,5.06
Nikola,Vucevic,C,,2019-11-05,,ORL,OKC,+2.5,201.5,99.5,8400,21,23.5,35.1,49.3,40.8,4.85
Jayson,Tatum,SF,,2019-11-05,,BOS,CLE,-6.0,215.5,110.8,7700,5,36.3,40.4,50.3,40.0,5.19
DeMar,DeRozan,SG,,2019-11-05,,SA,ATL,-5.5,221.5,113.5,7500,29,30.8,35.8,41.0,36.3,4.83
Gordon,Hayward,SF,,2019-11-05,,BOS,CLE,-6.0,215.5,110.8,6400,5,21.5,33.6,50.0,36.3,5.66
Jimmy,Butler,SG,,2019-11-05,,MIA,DEN,+5.0,211.5,103.3,8100,4,24.5,41.3,50.8,35.8,4.41
Tristan,Thompson,C,,2019-11-05,,CLE,BOS,+6.0,215.5,104.8,7100,5,28.3,41.5,49.5,35.5,5.00
Bam,Adebayo,C,,2019-11-05,,MIA,DEN,+5.0,211.5,103.3,7400,8,25.8,39.3,49.3,34.8,4.70
Shai,Gilgeous-Alexander,PG,,2019-11-05,,OKC,ORL,-2.5,201.5,102,7000,5,27.5,40.4,52.8,34.8,4.96
Terry,Rozier,PG,,2019-11-05,,CHA,IND,+3.0,211.5,104.3,6900,11,26.8,34.8,46.8,34.5,5.00
Zach,LaVine,PG,,2019-11-05,,CHI,LAL,+7.0,216.5,104.8,7300,20,17.8,28.2,35.3,33.5,4.59
Jamal,Murray,PG,,2019-11-05,,DEN,MIA,-5.0,211.5,108.3,6500,1,25.0,31.6,43.8,33.5,5.15
LaMarcus,Aldridge,PF,,2019-11-05,,SA,ATL,-5.5,221.5,113.5,6800,23,18.3,31.6,46.3,32.8,4.82
Jeremy,Lamb,SG,,2019-11-05,,IND,CHA,-3.0,211.5,107.3,6100,20,20.5,33.9,42.5,32.5,5.33
Chris,Paul,PG,,2019-11-05,,OKC,ORL,-2.5,201.5,102,6600,5,12.0,26.4,37.3,32.5,4.92
Cody,Zeller,C,,2019-11-05,,CHA,IND,+3.0,211.5,104.3,6500,28,19.5,35.1,52.0,32.0,4.92
PJ,Washington,PF,,2019-11-05,,CHA,IND,+3.0,211.5,104.3,6100,27,20.0,26.7,38.5,30.8,5.04
Wendell,Carter Jr.,PF,Q,2019-11-05,,CHI,LAL,+7.0,216.5,104.8,6100,3,26.8,33.9,44.5,30.3,4.96
Lauri,Markkanen,PF,,2019-11-05,,CHI,LAL,+7.0,216.5,104.8,6300,3,18.0,27.6,33.5,30.0,4.76
Aaron,Gordon,SF,,2019-11-05,,ORL,OKC,+2.5,201.5,99.5,5900,2,18.3,28.1,37.3,29.5,5.00
Danilo,Gallinari,SF,,2019-11-05,,OKC,ORL,-2.5,201.5,102,6200,11,24.8,26.8,29.8,29.3,4.72
T.J.,Warren,SF,,2019-11-05,,IND,CHA,-3.0,211.5,107.3,6000,20,6.8,25.3,38.8,28.8,4.79
Dejounte,Murray,PG,,2019-11-05,,SA,ATL,-5.5,221.5,113.5,6700,6,26.8,37.3,44.5,28.3,4.22
Miles,Bridges,SF,,2019-11-05,,CHA,IND,+3.0,211.5,104.3,5200,3,13.0,23.7,34.5,27.8,5.34
Marcus,Smart,PG,,2019-11-05,,BOS,CLE,-6.0,215.5,110.8,5700,24,18.8,26.2,37.5,27.8,4.87
Jonathan,Isaac,SF,,2019-11-05,,ORL,OKC,+2.5,201.5,99.5,5600,2,22.5,29.8,44.8,27.3,4.87
