first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
James,Harden,PG,,2019-12-23,,HOU,SAC,-6.0,230.5,118.3,11000,21,51.3,63.5,84.3,58.8,5.34
Trae,Young,PG,,2019-12-23,,ATL,CLE,+1.0,229.5,114.3,11200,16,46.3,55.1,67.0,54.8,4.89
Nikola,Jokic,C,,2019-12-23,,DEN,PHO,-2.5,218.5,110.5,9100,9,37.0,52.9,68.5,52.8,5.80
Damian,Lillard,PG,,2019-12-23,,POR,NO,-5.5,230,117.8,8300,11,35.3,46.3,61.8,51.3,6.17
Joel,Embiid,C,Q,2019-12-23,,PHI,DET,-6.0,216,111,10200,2,45.8,56.9,66.8,51.0,5.00
Russell,Westbrook,PG,,2019-12-23,,HOU,SAC,-6.0,230.5,118.3,8900,21,40.3,51.6,60.5,48.8,5.48
Bradley,Beal,SG,,2019-12-23,,WAS,NY,+3.5,228,112.3,9300,29,45.3,55.6,60.0,48.0,5.16
Hassan,Whiteside,C,,2019-12-23,,POR,NO,-5.5,230,117.8,7900,28,35.0,50.0,63.0,46.8,5.92
Nikola,Vucevic,C,,2019-12-23,,ORL,CHI,-5.0,207,106,8200,20,19.3,37.1,57.0,46.5,5.67
Andre,Drummond,C,,2019-12-23,,DET,PHI,+6.0,216,105,10100,16,26.5,45.1,52.8,46.0,4.55
Domantas,Sabonis,PF,Q,2019-12-23,,IND,TOR,-7.0,211,109,7800,15,33.0,42.0,59.0,44.0,5.64
D'Angelo,Russell,PG,,2019-12-23,,GS,MIN,+1.5,222.5,110.5,7500,12,18.5,38.2,50.8,43.0,5.73
Brandon,Ingram,SF,,2019-12-23,,NO,POR,+5.5,230,112.3,8400,13,37.8,43.0,56.0,41.8,4.97
Julius,Randle,PF,,2019-12-23,,NY,WAS,-3.5,228,115.8,6700,28,25.5,34.8,43.8,41.8,6.23
Ben,Simmons,PG,,2019-12-23,,PHI,DET,-6.0,216,111,8500,26,35.0,42.3,55.3,41.5,4.88
Rudy,Gobert,C,,2019-12-23,,UTA,MIA,+4.5,213,104.3,9000,17,42.3,46.5,52.5,40.5,4.50
Jrue,Holiday,PG,,2019-12-23,,NO,POR,+5.5,230,112.3,7800,19,30.8,40.4,50.0,40.3,5.16
Clint,Capela,C,Q,2019-12-23,,HOU,SAC,-6.0,230.5,118.3,7400,11,29.3,40.9,48.8,40.0,5.41
CJ,McCollum,PG,,2019-12-23,,POR,NO,-5.5,230,117.8,6500,11,20.5,41.1,50.8,40.0,6.15
Kyle,Lowry,PG,,2019-12-23,,TOR,IND,+7.0,211,102,8800,15,37.0,48.7,60.5,39.8,4.52
Zach,LaVine,PG,Q,2019-12-23,,CHI,ORL,+5.0,207,101,8000,27,26.5,42.2,49.5,39.5,4.94
Jimmy,Butler,SG,,2019-12-23,,MIA,UTA,-4.5,213,108.8,8100,23,32.3,38.4,44.0,39.3,4.85
Bam,Adebayo,C,,2019-12-23,,MIA,UTA,-4.5,213,108.8,8700,6,34.5,45.3,57.3,38.8,4.45
Devin,Booker,PG,,2019-12-23,,PHO,DEN,+2.5,218.5,108,7900,17,27.5,39.6,50.0,38.5,4.87
Donovan,Mitchell,PG,,2019-12-23,,UTA,MIA,+4.5,213,104.3,8300,9,40.3,43.0,47.3,38.0,4.58
Mitchell,Robinson,C,,2019-12-23,,NY,WAS,-3.5,228,115.8,5800,7,15.3,27.3,45.3,37.8,6.51
Serge,Ibaka,PF,,2019-12-23,,TOR,IND,+7.0,211,102,7700,21,15.3,33.7,48.3,37.3,4.84
John,Collins,PF,,2019-12-23,,ATL,CLE,+1.0,229.5,114.3,7600,19,30.3,36.9,50.8,36.8,4.84
Kevin,Love,PF,,2019-12-23,,CLE,ATL,-1.0,229.5,115.3,7400,20,22.8,41.0,56.8,36.5,4.93
De'Aaron,Fox,PG,,2019-12-23,,SAC,HOU,+6.0,230.5,112.3,6400,20,28.3,36.6,43.3,36.3,5.66
LaMarcus,Aldridge,PF,,2019-12-23,,SA,MEM,-1.0,229,115,7300,13,23.5,38.4,48.0,36.3,4.97
Jamal,Murray,PG,,2019-12-23,,DEN,PHO,-2.5,218.5,110.5,7200,29,18.3,33.9,49.0,36.0,5.00
Andrew,Wiggins,SG,,2019-12-23,,MIN,GS,-1.5,222.5,112,8400,11,34.8,41.5,47.5,36.0,4.29
Tristan,Thompson,C,,2019-12-23,,CLE,ATL,-1.0,229.5,115.3,6300,24,14.8,29.4,35.3,34.8,5.52
Buddy,Hield,SG,,2019-12-23,,SAC,HOU,+6.0,230.5,112.3,6700,17,18.0,31.6,56.5,34.8,5.19
Ricky,Rubio,PG,,2019-12-23,,PHO,DEN,+2.5,218.5,108,7000,17,21.3,40.0,53.8,34.5,4.93
Tobias,Harris,SF,,2019-12-23,,PHI,DET,-6.0,216,111,7200,18,12.0,29.4,40.8,34.5,4.79
Ja,Morant,PG,,2019-12-23,,MEM,SA,+1.0,229,114,7100,14,21.8,32.8,38.8,34.3,4.82
DeMar,DeRozan,SG,,2019-12-23,,SA,MEM,-1.0,229,115,6800,26,23.8,29.4,35.5,34.3,5.04
Fred,VanVleet,PG,,2019-12-23,,TOR,IND,+7.0,211,102,7600,15,7.8,29.2,43.5,33.8,4.44
Bojan,Bogdanovic,SF,,2019-12-23,,UTA,MIA,+4.5,213,104.3,6900,2,20.3,35.0,48.3,33.5,4.86
Marvin,Bagley III,PF,,2019-12-23,,SAC,HOU,+6.0,230.5,112.3,5700,14,21.8,27.3,32.3,33.5,5.88
Draymond,Green,PG,,2019-12-23,,GS,MIN,+1.5,222.5,110.5,5900,12,15.5,31.3,55.0,33.3,5.64
Aaron,Gordon,SF,,2019-12-23,,ORL,CHI,-5.0,207,106,6100,27,14.8,25.7,35.0,33.0,5.41
Derrick,Rose,PG,Q,2019-12-23,,DET,PHI,+6.0,216,105,6100,1,18.5,33.0,43.5,32.5,5.33
Ish,Smith,PG,,2019-12-23,,WAS,NY,+3.5,228,112.3,4500,2,3.8,24.2,36.3,32.3,7.17
Jonas,Valanciunas,C,Q,2019-12-23,,MEM,SA,+1.0,229,114,6500,27,18.5,33.1,43.5,32.0,4.92
Kelly,Oubre Jr.,SF,,2019-12-23,,PHO,DEN,+2.5,218.5,108,6600,10,24.0,32.3,39.8,32.0,4.85
Jonathan,Isaac,SF,,2019-12-23,,ORL,CHI,-5.0,207,106,6000,27,12.3,24.4,46.8,31.8,5.29
Jaren,Jackson Jr.,PF,,2019-12-23,,MEM,SA,+1.0,229,114,6600,23,15.8,30.1,41.8,31.8,4.81
Lauri,Markkanen,PF,,2019-12-23,,CHI,ORL,+5.0,207,101,6400,11,20.5,34.7,49.3,31.3,4.88
Jeff,Teague,PG,,2019-12-23,,MIN,GS,-1.5,222.5,112,5700,8,20.5,34.0,52.0,31.0,5.44
Will,Barton,PG,,2019-12-23,,DEN,PHO,-2.5,218.5,110.5,6200,29,19.0,32.1,42.8,30.8,4.96
Wendell,Carter Jr.,PF,Q,2019-12-23,,CHI,ORL,+5.0,207,101,6100,11,28.3,30.8,35.8,30.8,5.04
Alec,Burks,PG,,2019-12-23,,GS,MIN,+1.5,222.5,110.5,5300,12,20.0,32.1,40.0,30.8,5.80
Blake,Griffin,PF,Q,2019-12-23,,DET,PHI,+6.0,216,105,6400,2,7.0,21.9,42.8,30.0,4.69
RJ,Barrett,PG,,2019-12-23,,NY,WAS,-3.5,228,115.8,5500,28,4.5,20.2,39.0,30.0,5.45
