,total players,unique players,selection rate,represented teams,total teams,mean proj point best,mean proj value best,mean proj min best,mean proj enhanced min best,mean proj skewedfp best,mean proj point total,mean proj value total,mean proj min total,mean proj enhanced min total,mean proj skewedfp total
0,147,37,25.170068027210885,8,12,29.654750000000003,4.902925,28.4275,32.35747913434573,27.691350000000003,18.021768707482998,3.529353741496599,18.935374149659864,18.574897925979737,21.514693877551018
1,242,42,17.355371900826448,16,18,30.05814393939394,4.919943181818182,29.333333333333332,30.893332603290382,28.74314393939394,17.247727272727275,3.356012396694215,17.34710743801653,17.919862864537834,20.675247933884297
2,72,33,45.83333333333333,6,6,30.13925,4.9559,28.775,31.203332757471046,29.23915,18.930555555555557,3.67625,18.756944444444443,18.874335485122124,21.71861111111111
3,207,44,21.256038647342994,16,16,30.702419354838714,5.076391129032258,31.715725806451612,31.58522912432607,29.54830645161291,17.782608695652176,3.5636231884057974,17.92512077294686,18.06000431739449,20.97690821256038
4,132,38,28.78787878787879,10,10,32.39274193548387,5.4608870967741945,31.616935483870968,33.936438474423944,29.217338709677417,17.127651515151513,3.3857575757575753,17.564393939393938,17.676019832362705,20.859318181818185
5,269,43,15.985130111524162,19,20,33.5125,5.812166666666667,30.054166666666667,38.09280494894855,30.01008333333333,17.53996282527881,3.5635687732342003,17.436802973977695,18.33155735608477,20.494907063197022
6,95,43,45.26315789473684,8,8,29.300862068965515,4.642435344827587,29.165948275862068,29.016041666766643,29.102068965517244,19.53684210526316,3.603,19.594736842105263,18.90172884541205,22.725263157894734
7,245,42,17.142857142857142,18,18,31.25479166666667,5.066958333333334,31.3125,33.918907585985814,28.519624999999998,16.945918367346938,3.3063673469387753,17.114285714285714,17.78075626893583,20.106163265306122
8,203,43,21.182266009852217,16,16,30.30524193548387,4.971209677419354,28.33467741935484,32.05412439581276,28.813629032258067,18.40566502463054,3.618374384236453,18.435960591133004,18.892308718178956,21.198768472906405
9,182,41,22.52747252747253,14,14,32.4125,5.3329375,32.15833333333333,34.39694050284897,29.82,17.548626373626377,3.5461263736263735,17.815934065934066,18.823535269314057,21.022802197802196
10,105,40,38.095238095238095,8,8,31.30825892857143,5.061428571428571,30.145089285714285,33.35120908919793,29.66611607142857,17.522857142857145,3.504523809523809,17.566666666666666,18.335312429170397,20.612952380952382
11,182,43,23.626373626373624,13,14,32.05984848484849,5.31873106060606,30.85037878787879,33.60804275491219,30.732045454545453,17.83846153846154,3.4686813186813183,17.804945054945055,18.443542590050633,21.175824175824175
12,253,43,16.99604743083004,18,20,30.515416666666663,4.993270833333333,30.139583333333334,31.451463614476555,29.238916666666668,18.360079051383398,3.5537351778656125,18.456521739130434,18.83782035723614,21.437786561264822
13,99,48,48.484848484848484,8,8,30.703125,5.167832031250001,30.67578125,32.14530652790774,28.8315625,18.022727272727273,3.759090909090909,18.782828282828284,18.924431499158707,21.22111111111111
14,226,44,19.469026548672566,18,18,30.297537878787878,4.966818181818181,29.426136363636363,30.92283324566957,29.113674242424246,18.452433628318584,3.5801327433628316,18.528761061946902,18.978676923576472,21.49553097345133
15,185,44,23.783783783783786,14,14,30.99677419354839,5.018346774193549,30.274193548387096,31.955405522000547,29.723225806451616,17.51243243243243,3.434108108108108,17.643243243243244,17.97459685288273,20.508864864864865
16,209,53,25.358851674641148,16,16,29.597916666666663,4.873806818181818,28.481060606060606,30.263582960761767,30.331022727272728,18.033014354066985,3.533923444976076,17.688995215311003,17.929021129003843,21.36870813397129
17,156,42,26.923076923076923,12,12,30.2625,5.142224264705882,28.19485294117647,31.799501479957478,28.078602941176467,17.66698717948718,3.55176282051282,17.887820512820515,18.939971954900127,20.297628205128206
18,155,48,30.967741935483872,12,12,31.50698529411765,5.323915441176471,30.452205882352942,32.975354714383975,30.5975,18.13935483870968,3.682548387096774,18.074193548387097,18.409372635341686,21.34503225806452
19,222,45,20.27027027027027,16,18,32.91693548387097,5.425342741935484,31.387096774193548,35.11906680208278,31.36048387096774,18.93963963963964,3.730653153153153,18.97072072072072,19.022283520429227,21.668828828828833
20,160,43,26.875,12,12,31.337083333333332,5.12325,29.49375,31.860674202566205,30.881000000000004,17.207187500000003,3.4305,17.20625,17.311467946373007,20.776437500000004
21,50,26,52.0,4,4,31.80921052631579,5.2309539473684215,30.00657894736842,32.56152554519561,32.432105263157894,19.127999999999997,3.5668000000000006,18.55,19.727652783993403,21.841600000000003
22,281,41,14.590747330960854,20,22,30.536088709677422,4.980725806451612,28.87701612903226,31.765190957634477,29.88197580645161,17.895017793594306,3.461174377224199,17.964412811387902,18.149716243120793,20.980569395017792
23,124,40,32.25806451612903,10,10,34.0951171875,5.551796875,31.00390625,34.99149602980885,32.2097265625,18.886290322580646,3.655887096774194,19.0,19.38815880280954,21.74274193548387
24,244,44,18.0327868852459,18,18,31.995265151515152,5.271704545454545,30.098484848484848,32.977805516089894,30.549053030303025,16.829508196721314,3.3572950819672127,16.971311475409838,16.970128385752755,20.2105737704918
25,172,44,25.581395348837212,12,12,29.540441176470583,4.818014705882353,27.623161764705884,28.61951798831792,29.49970588235294,16.54796511627907,3.25546511627907,16.1453488372093,16.296079720224224,19.637267441860462
26,209,50,23.923444976076556,15,16,31.55053571428572,5.209017857142857,29.551785714285714,32.94433598033877,30.04660714285714,17.345693779904305,3.537870813397129,17.39712918660287,18.307929226944804,20.514306220095694
27,211,44,20.85308056872038,16,16,32.54084821428571,5.469084821428572,31.029017857142858,35.36532264669909,29.888973214285716,17.150947867298576,3.4338862559241705,17.60900473933649,18.35228933054983,20.89862559241706
28,136,42,30.88235294117647,10,10,31.726339285714285,5.121718749999999,28.372767857142858,33.11130422526683,30.972678571428567,17.01066176470588,3.2279779411764706,16.86764705882353,17.697782094915695,19.942279411764705
29,246,45,18.29268292682927,18,18,32.87611607142857,5.367968750000001,31.138392857142858,34.9310203517422,31.194955357142856,17.02012195121951,3.3547764227642274,17.109756097560975,18.24652831475521,20.22142276422764
30,94,46,48.93617021276596,8,8,32.7150390625,5.2230078125,29.759765625,32.7483181378486,31.1136328125,19.53031914893617,3.7463829787234038,19.27127659574468,20.602567835251644,21.37989361702128
31,235,50,21.27659574468085,20,20,33.09848484848485,5.441174242424243,30.270833333333332,35.823582675806556,31.003560606060603,18.918510638297874,3.693425531914894,19.387234042553192,19.752460202487715,21.53093617021277
32,78,39,50.0,6,6,32.72155172413793,5.384633620689656,27.70689655172414,34.38695425241073,31.988189655172413,17.67820512820513,3.368653846153846,17.064102564102566,18.70587021422833,21.099487179487177
